start	end	text
0	2480	Wat andere zwaar je hoorde? U moet me vertellen.
2880	5180	U luistert naar Zimmerman & Space.
5840	11760	U weet vast wel dat we in het ons bekende heelal allemaal clusters van sterren aantreffen.
12340	20200	Elliptische stelsels, bolvormige sterrenhopen, spiraalstelsels, balkspiraalstelsels en wat dies meer zijn.
20920	27000	In 2016 werd aan de Universiteit van Nottingham op basis van waarnemingen met de Hubble-telescoop
27000	32100	een schatting gemaakt van het aantal sterrenstelsels in het ons bekende heelal.
32640	34960	2 biljoen sterrenstelsels.
35160	36100	Zoé, wat veel!
36360	41100	En mogelijk zijn het er nog veel meer omdat we niet weten hoe groot het heelal werkelijk is.
42100	46680	Als we één zo'n sterrenstelsel bekijken dan zien we de hoop van sterren
46680	50620	die door de zwaartekracht van zo'n sterrenstelsel bij elkaar worden gehouden.
50920	56460	Met de huidige kennis van de astronomie gaan we ervan uit dat een dergelijk sterrenstelsel
56460	61960	in de meeste gevallen nog veel groter is en een halo van donkere materie kent.
64600	70700	Maar we weten ook dat deze donkere materie vooralsnog niet rechtstreeks waargenomen kan worden
70700	75960	en zo ontstond de vraag hoe hier dan toch informatie over kan worden verkregen.
76500	80460	Een interessante casus ontstaat wanneer verschillende sterrenstelsels
81260	84960	door hun onderlinge zwaartekracht naar elkaar toe worden getrokken.
84960	88880	Dit gebeurt wanneer sterrenstelsels zo dicht bij elkaar staan
88880	92360	dat de zwaartekracht het wint van de uitdijing van het heelal.
92980	97440	Zoals bijvoorbeeld het geval is bij onze eigen melkweg en de Andromeda-nevel.
98600	100820	Inderdaad, dat heeft u goed onthouden.
101900	106420	Ver voordat twee of meer sterrenstelsels samen klonteren tot één geheel
106420	111340	worden afzonderlijke sterren in de periferie al losgevrikt uit hun banen
111340	116360	en ontstaat er bij wijze van spreken een soort mist van bijna niet waar te nemen
116360	119220	solitaire sterren tussen sterrenstelsels.
119720	126320	De officiële naam van deze mist is Intra Cluster Light, vaak afgekort als ICL.
127200	132480	Dit Intra Cluster Licht wordt gevormd door de collectieve gloed van al deze sterren.
132480	137700	Gedurende miljoenen jaren als sterrenstelsels botsen en saamsmelten
137700	143440	vormt Intra Cluster Licht als het ware een fossiel verslag van de dynamische interacties
143440	147840	met een schat aan informatie over de geschiedenis van dit clustersysteem
147840	151900	en daarmee ook over de geschiedenis van het universum op de grote schaal.
152920	154740	Alleen er is een probleem.
155820	159520	Dit licht is dusdanig zwak dat het met de huidige technologie
159520	162080	niet of nauwelijks waargenomen kan worden.
162080	163300	Oh, dat is niet best.
164300	169720	Een van de hoofdonderzoekers van het Intra Cluster Licht fenomeen is astronoom Mireia Montes,
169920	175900	momenteel werkzaam aan het Astrofysisch Instituut Canarias La Laguna in Tenerife, Spanje.
176780	180520	Van haar hand verscheen een aantal artikelen over Intra Cluster Licht,
180780	183200	zoals in 2019 het artikel
183200	184580	Intra Cluster Licht.
184580	188360	Een luminous tracer voor dark matter in clusters of galaxies.
188980	193500	Hierin doet ze uit de doeken dat Intra Cluster Licht een uitstekende methode is
193500	198080	om de distributie van donkere materie in sterrenstelsels te bestuderen.
198760	201180	Maar nu hebben we natuurlijk nog een instrument nodig
