start	end	text
0	8620	Soms horen we wel eens iets moeilijks in het nieuws en dan is het vaak maar de vraag wat de repercussies daadwerkelijk zijn.
8940	10800	Met name ook voor ons persoonlijk.
11440	15780	Neem bijvoorbeeld de kernramp in Tsjernobyl op 26 april 1986.
17320	23680	Ik weet nog dat ik erover hoorde op de radio die aanstond in de koffiekamer van mijn eerste echte baantje.
23680	35540	Waarschijnlijk hoorde ik er pas over op dinsdagochtend 29 april, want pas de avond daarvoor erkende de Russische overheid dat er een storing had plaatsgevonden in de kerncentrale.
36380	44360	Inmiddels heet de Tsjernobyl ramp volgens de World Health Organization de grootste civiele nucleaire ramp in de geschiedenis.
44560	51580	De ramp met de kerncentrale als gevolg van menselijk falen kostte officieel iets minder dan 100 mensen het leven,
51580	56300	maar de lange termijn schattingen over zieken en doden lopen sterk uiteen.
57000	62960	Maar wat hadden wij als Nederlanders of Belgen eigenlijk voor last van de kernramp zo ver weg in Tsjernobyl?
63340	64840	Ja, dat is de vraag.
65140	71320	Ruim een jaar na de kernramp op 5 november 1987 lazen we in Dagblad Trouw
71320	75940	Paddenstoel blijft nog enkele jaren radioactief besmet.
75940	82480	De radioactieve besmetting van paddenstoelen is in vergelijking met vorig jaar nauwelijks afgenomen.
82920	90320	Wie nu het bos intrekt om een mandjevelde paddenstoelen te plukken, kan er zonder meer van uitgaan met besmette exemplaren terug te keren.
90320	99560	De hoogste waarden zullen worden gevonden in die gebieden waar anderhalf jaar geleden, na de ramp in de kerncentrale in Tsjernobyl, de meeste neerslag viel.
99560	106620	Het regenfront trok in die eerste meidagen globaal van het zuidoosten naar het noordwesten over ons land.
107200	109580	Van de Peel via de Bult naar Den Helder.
110760	118620	Vorig najaar doken de eerste berichten over radioactief besmette wilde paddenstoelen op die de normen voor voedsel ruim overtroffen.
119280	124140	Het ministerie van WVC liet toen weten dat er geen enkele reden tot paniek was.
124620	126940	De volksgezondheid was niet in het geding.
126940	128520	Ja, daar konden we op wachten.
128520	132160	Dit was natuurlijk goed nieuws, want het leven kon vrolijk verder gaan.
132800	133840	Niks aan de hand.
134540	137200	Dan maar wat minder wilde paddenstoelen eten, nietwaar?
138360	142220	Zo is het ook een beetje met het nieuws waar ik het vandaag met u over wil hebben.
142960	149220	Ik wil er gelijk bij zeggen dat ik het bericht ontving van luisteraar Jule uit Drenthe, waar ik heel blij mee ben.
149880	155880	Het is fantastisch als u als luisteraar meedenkt over de dingen die hier in deze podcast besproken worden.
155880	160660	Het bericht verscheen op de website van RTV Drenthe met de titel
160660	163260	Astronomen maken zich grote zorgen.
163680	167180	Lofar Telescoop ontdekt ruis van SpaceX satellieten.
167840	169220	In het artikel lezen we
169220	176680	Wetenschappers van Astron in Dwingelo maken zich grote zorgen over de komst van extra satellieten van SpaceX,
177180	179220	het ruimtebedrijf van Elon Musk.
179900	186000	Met de Lofar Telescoop in Exlo hebben zij ontdekt dat de satellieten van SpaceX, die nu al in de ruimte zijn,
186000	188080	zorgen voor ruis in het heelal.
188640	192060	Daardoor zijn waarnemingen in het ergste geval onbruikbaar.
192060	198400	Misschien is het aardig even naar een stukje te luisteren van het videobestand van RTV Drenthe.
199060	202720	Hierin is wetenschapper Kees Bassa van Astron aan het woord.
203060	206040	Dit was de eerste keer dat we hier echt specifiek naar op zoek zijn gegaan.
206140	208780	We waren er wel bang voor, maar nu hebben we het ook echt gemeten.
208980	213660	En met alle andere satellieten die in de toekomst gelanceerd gaan worden, kan dit best een groot probleem gaan worden.
214000	217020	Bassa laat ook een stukje van een radiowaarneming horen,
217180	221900	waarin te horen is dat een satelliet van SpaceX door de detectoren van Lofar trekt.
222060	229100	Ik heb het fragment iets opgeschoond, zodat u als luisteraar van deze podcast niet doof getetterd wordt door ruis.
229760	236400	In dit fragment hoort u het residu van ruis en dan opeens een soort geluid alsof een goederentrein langskomt.
236400	242060	Dat is het Doppler-effect van een Starlink-satelliet die het radiospectrum vervuilt.
245600	251840	We wisten al dat de Starlink-satelliet in het optisch bereik voor vervuiling aan de sterrenhemel zorgen,
251840	254100	in de vorm van strepen op foto's.
254620	258520	Maar nu ontstaat er dus ook een probleem in het radioastronomisch bereik.
258980	259620	Hoe zit dat?
260120	263640	Kan SpaceX geen andere radiofrequentie gebruiken?
264300	267500	Dan komen we uit op het wetenschappelijke artikel hierover,
267700	270880	waarvan onder andere diezelfde Kees Bassa auteur is.
270880	272700	We vinden het met de titel
272700	285660	Het verschijn begin juli van dit jaar in Astronomy & Astrophysics.
286660	293500	Hoofdauteur is Frederico Di Fruno van het Square Kilometer Array Observatory of SKAO.
293500	299640	In dit artikel lezen we dat er inderdaad is afgesproken dat SpaceX voor radiocommunicatie
299640	307840	met haar constellatie van Starlink-satellieten gebruik maakt van de 10.7 en 12.7 gigahertz radiofrequenties,
308120	314120	maar dat er onbedoelde vervuilende radiosignalen op lagere frequenties worden aangetroffen.
315080	318980	Deze vervuilende signalen zijn dan hinderlijk voor de radioastronomie.
318980	325600	De auteurs zijn het eens dat de extra radiouitzendingen intrinsiek zijn aan de Starlink-satellieten,
325780	333100	aangezien zij deze radioemissies bij 47 van de 68 waargenomen Starlink-satellieten wisten te meten.
333760	346840	We hebben het dan over niet bedoelde vervuilingsproducten van satellieten op radiofrequenties 125, 135, 145.05, 150 en 175 megahertz.
346840	351740	Ver beneden de voor SpaceX vrijgegeven radiofrequenties dus.
352680	357140	Het is wel interessant dat dit het resultaat is van slechts één uur waarnemen.
357680	363400	In een tijdsbestek van één uur konden er storingen van maar liefst 47 Starlink-satellieten
363400	366100	in het luisterbereik van Lover worden gemeten.
366260	367520	Dat is toch niet te geloven?
367520	376220	Eén van deze frequenties, 145.05 megahertz, kan toegeschreven worden aan de Franse Graves Space Surveillance radar.
377500	382220	Graves klinkt misschien wat macaber, maar is gewoon weer een afkorting en wel van...
382220	384980	Grand réseau adapté à la veille spatiale.
384980	393800	Dit Franse systeem zendt een radarsignaal uit op 145.05 megahertz, wat op een andere locatie in Frankrijk weer herkend kan worden...
393800	396240	wanneer signalen tegen satellieten aanbotsen.
396980	403640	Als u het aardig vindt hier meer over te lezen, dan vindt u een link naar het Graves Sourceboek in de show notes.
404260	412480	Deze pdf is deels in het Engels en deels in het Frans en met 126 pagina's reuze interessant voor de nerds onder ons.
412480	413720	Ben je zo'n nerd, Hans?
414040	419700	Opvallend is dat het regulerend orgaan, de International Telecommunications Union...
419700	425660	wel regels oplegt voor bedoelde radio-uitzendingen, maar juist niet voor onbedoelde radio-uitzendingen.
426880	431480	Specifiek publiceert de ITU een reglement met de naam Radio Regulations...
432040	436540	wat lidstaten geacht worden uit te rollen in hun eigen systeem van wetgevingen.
437000	440480	Maar de radioastronomie komt er bedonderd vanaf.
440480	447480	Onder de 4 gigahertz wordt slechts 5% van het radiospectrum vrijgehouden voor radioastronomie...
448020	449840	en dus ook nog onsuccesvol.
450560	454720	Geen wonder dan ook dat radioastronomen zoals Dr. Mark Kleinvolt...
454720	457480	van het Radboud Radiolab van de Radboud Universiteit...
458140	462380	hun zinnen hebben gezet op een radiotelescoop op de achterkant van de maan.
463700	468100	We kunnen ons afvragen waar dit soort onbedoelde radiosignalen vandaan komen.
468100	474260	Is zo'n Starlink-satelliet niet in staat om alleen de afgesproken radiofrequenties te benutten?
474440	477120	Ja, dat is wel een hele interessante vraag.
477520	479100	Deels is het bijna niet te voorkomen.
480100	487160	Wanneer men uitzendt op een frequentie ontstaan er harmonische en intermodulatie bijproducten op andere frequenties.
487840	490840	Maar waar dit nog binnen de perken gehouden zou kunnen worden...
490840	495640	zendt elk elektronisch systeem ook inherent extra radiosignalen uit.
496420	501840	De auteurs noemen dit UEMR, wat staat voor Unintended Electromagnetic Radiation...
502360	505800	wat ook wel eens elektromagnetische interferentie genoemd wordt.
507140	511840	Deze niet bedoelde radiostraling vinden we ook in uw strijkeizer...
511840	515320	de muis van uw computer, de meterkast, et cetera.
516120	521420	Met een heel klein beetje hobbyën kunt u zelf op onderzoek uitgaan en dit soort storingen opnemen.
522260	527840	Ik hing zelf een min of meer willekeurige spoel van koperdraad aan de microfooningang van mijn pocketrecorder...
529120	532840	en hield die spoel in de buurt van diverse apparaten in mijn rommelhok...
533640	536640	waar ook deze podcast opgenomen en nabewerkt wordt.
536640	541680	De Wacom tablet, een soort pen, genereerde dit geluid.
543960	547040	Dit is het geluid van een magnetische harddisk.
549000	552740	En dit is het geluid van een adapter in het stopcontact.
554880	557640	Als u het wat grootser op wilt zetten...
557640	563440	links naar hobbyprojecten in Make Sign en Instructables vindt u de links van deze aflevering.
563440	569720	Maar even terug naar onze Starlink-satellieten die het plezier voor radioastronomen vergallen.
570480	575220	Aan de ene kant zijn veel mensen, waaronder ik zelf, blij met technologische vooruitgang.
576000	580440	Zoiets als Starlink-internet zal voor veel consumenten en ook voor instellingen...
580980	585860	een buitengewoon plezierige oplossing zijn voor het gebruiken van breedband-internet.
586780	591440	Hier in Beeldhoven, waar ik woon, loopt de glasvezel huis aan huis tot aan de voordeur...
591440	595940	maar de situatie is natuurlijk anders in afgelegen locaties op aarde.
597420	601440	Maar moeten we dan ergens ho tot hier en niet verder roepen?
602320	605240	Net zoals we niet hebben gedaan met nachtelijke verlichting?
606140	608460	Daar hebben we het wel eens eerder over gehad.
609120	612560	Een telescoop in het midden van de stad is min of meer zinloos.
612700	615040	Een reliquie van vervlogen tijden.
615040	620320	Zelfs op het platteland in Nederland is het zoeken naar een locatie...
620320	624060	waar de sterrenhemel nog echt donker wordt en de Melkweg goed zichtbaar is.
624920	628040	De meest indrukwekkende beelden uit het heelal komen nu van telescopen...
628700	631160	die buiten onze dampkring in de ruimte hangen.
632040	636040	Is dan nu ook het punt aangebroken dat we de pijp aan Maarten moeten geven...
636600	639040	voor wat betreft radioastronomie op aarde?
639240	640160	Laten we dat maar niet doen.
640160	646160	In het artikel van Bassa en Diffruno lezen we dat we ons nu in de eigenaardige situatie bevinden...
646960	649160	dat voor het eerst in de menselijke geschiedenis...
649680	653620	het opgetelde effect van satellieten serieus gemeten kan gaan worden.
654200	660540	Want alleen nu hangen er vrijwel identieke satellieten van bijvoorbeeld SpaceX en OneWeb rond de aarde...
660540	666160	waarbij verwacht kan worden dat de gelekte straling steeds op dezelfde frequenties plaatsvindt...
666160	669160	en dus een opgeteld effect krijgt op de radioastronomie.
670160	675160	Volgens astrofysicus Jonathan McDowell, die dit keurig voor ons bijhoudt...
675160	680900	zijn er op dit moment 4.432 Starlink-satellieten in een baan rond de aarde te vinden...
680900	684520	waarvan er 4.397 werkzaam zijn.
685340	690560	OneWeb heeft volgens Jonathan 632 werkende satellieten in een baan rond de aarde.
691360	696480	Vormen deze megaconstellaties, die de komende jaren nog veel groter zullen worden...
696480	699040	een serieus gevaar voor radioastronomie.
699040	706100	De auteurs komen tot de voorzichtige conclusie dat dit nog niet met grote zekerheid kan worden gezegd.
706360	712040	Al vrezen zij dat met de tijd zoveel praktisch identieke satellieten in een baan rond de aarde komen te hangen...
712040	720480	dat de opgetalde som van onbedoelde radiostoringen een deel van de radioastronomie op aarde onmogelijk zal maken.
721200	724640	Overleg tussen partijen is dan ook nodig, concluderen zij.
725180	729040	Want een deel van het probleem kan mogelijk ook toegeschreven worden aan onwetendheid.
729040	739040	Storende signalen op 125, 150 en 175 megahertz kunnen bijvoorbeeld harmonische zijn van een elektronisch component...
739600	742340	met een klokfrequentie van 25 megahertz.
743060	746920	Een ander type elektronisch component kan wellicht al een hoop schelen.
746920	751920	In een Ask Me Anything van Reddit antwoorden medewerkers van SpaceX...
752540	758480	dat er per 60 Starlink-satellieten ruim 4000 Linux-computers gelanceerd worden.
759120	763200	Elke Linux-nood heeft minstens één microprocessor in gebruik...
