start	end	text
0	6500	Misschien heeft u het wel eens op internet gezien of in uw mail ontvangen van een bekende.
8200	11500	Het beroemde citaat van Nikola Tesla.
17000	23740	Als u het heelal wilt kunnen begrijpen, denk dan in termen van energie, frequentie en trillingen.
24960	28420	Interessant. Maar heeft Tesla dit wel echt ooit gezegd?
28420	30840	Ik denk het eigenlijk niet.
31360	36660	Als we zoeken naar dit citaat zien we dat het vooral misbruikt wordt door allemaal bedenkelijke websites.
37880	44420	Mogelijk heeft een Ralf Bergstresser het Tesla in de mond gelegd voor een of andere reclameactie.
44980	49560	Verder kan ik in ieder geval niks vinden dat mij direct bij Tesla als bron brengt.
50420	55740	Los van deze introductie bestuderen astronomen wel degelijk trillingen in het heelal.
55740	60580	Ons verhaal van vandaag gaat daar grotendeels over.
60960	61460	Oké.
61460	65920	Aan de zuidelijke sterrenhemel vinden we het sterrenbeeld de vlieg Musca.
66440	71080	In Nederland of België komt sterrenbeeld de vlieg nooit boven de horizon.
71080	79880	In sterrenbeeld de vlieg vinden we een zogenaamde moleculaire wolk, ook wel de Musca cloud of Muscanevel genoemd.
80600	85680	Op foto's in zichtbaar licht zien we deze nevel vooral door de afwezigheid van sterren.
85680	92060	Want hier houdt een wolk van moleculen en stof het licht van verder weggelegen sterren tegen.
93260	99360	Zo krijgt deze interstellaire moleculaire wolk dan ook de naam de Dark Doodat Nebula.
99780	108520	Dat zouden we kunnen vertalen als donkere dingesnevel, want Doodat is een iets waarvan men de naam niet zo 1, 2, 3 te binnen schiet.
108520	138500	Oh, ik get it.
138520	145100	De Dark Doodat of Muscanevel dus is beslist niet de enige moleculaire nevel die we kennen.
145660	152640	We vinden deze kraamkamers van sterren alleen al in onze eigen melkweg op verschillende plaatsen aan onze sterrenhemel.
153200	159440	Dan kunnen we nog onderscheid maken tussen gigantische moleculaire nevels en de wat kleinere nevels.
160180	163720	Die laatste noemen we ook wel bolwolken of bokglobulus,
163720	171360	genaamd naar de astronoom Bart-Jan Bok, die in de jaren 40 van de vorige eeuw al speculeerde dat hier sterren werden geboren.
171920	177040	Pas met de komst van de infraroodruimtetelescopen werd Boks hypothese bevestigd.
177540	181600	Een voorbeeld van zo'n kleinere bokglobule is Barnard 68.
181600	186780	Dit is een wolkmolecule op slechts 500 lichtjaar van ons verwijderd,
186900	189920	dus nog ruim schoots onderdeel van onze eigen melkweg.
190420	196300	Ook Barnard 68 ziet er op een foto in zichtbaar licht uit als de afwezigheid van sterren.
196300	202200	Kijken we echter met infraroodtelescopen, zoals bijvoorbeeld de James Webb ruimtetelescoop,
202240	205340	naar deze plek, dan worden de sterren daarachter weer zichtbaar,
205540	209360	omdat de infraroodstraling daarvan de moleculaire wolk kan passeren.
210460	216140	Barnard 68 vinden we in het sterrenbeeld de slangendrager, wat wel weer aan onze hemel te zien is.
216460	219760	Maar Barnard 68 gaat u niet vinden in uw achtertuin.
220420	223760	In zo'n moleculaire wolk is het doorgaans erg koud.
223760	226920	Kouder dan de interstellaire ruimte daaromheen.
227620	231520	In Barnard 68 is het naar het schijn slechts 16 Kelvin.
232400	237520	Dat is dusdanig koud dat u niet eens de kans krijgt elf steden toch te zeggen.
239200	246180	De grotere moleculaire wolken zijn zo gigantisch dat ze een aanzienlijk deel van onze sterrenhemel omvatten,
246620	248920	ook al zien we er met het blote oog niks van.
248920	250320	Nou, laten we zien.
