start	end	text
0	8340	Onlangs vroeg iemand mij waarom tijdens de oerknal niet onmiddellijk een zwart gat ontstond.
10020	18060	Daar hadden we immers alle materie waar dit heelal uit bestaat verpakt in een heelal ter grootte van een speldeknop of iets dergelijks.
18620	22220	Dat klinkt toch als het ultieme recept voor een mooi zwart gat.
23240	25680	Eerlijk is eerlijk, ik moest het ook opzoeken.
26100	29160	Je bedoelt, daar stond je met je bek vol tanden.
29160	30480	Ja, zoiets.
31260	34760	Het antwoord vond ik in Physics Stack Exchange.
35320	39680	Er zijn twee condities die vervuld moeten worden om een zwart gat te creëren.
40140	47720	De eerste is een centrum van massa waar alle nabije massa naartoe kan bewegen en wat het centrum van het zwarte gat zal worden.
47720	58720	En de tweede conditie is dat de deeltjes traag genoeg bewegen, zodat de zwaartekracht ze kan vangen en naar dat centrum van massa toe kan trekken.
59160	63360	Beide condities werden niet vervuld door de oerknal.
63360	75000	We waren er natuurlijk niet bij, maar het huidige lambda-CDM-model van de astronomie ziet de oerknal als het plotseling zich manifesteren van een uitdijend heelal.
75000	83260	Dit is geen explosie, dus dat onderdeel knal van de oerknal is weinig gelukkig gekozen.
84040	90320	Het complete helal was er en de massa daarin was uniform verdeeld, zonder centrum van massa.
90320	97200	En de massa van dit ultra-prille helal was onvergelijkbaar met wat we nu in het helal waarnemen.
97820	106200	Zo ongeveer de eerste 10 tot de min 32e seconde waren er geen elementaire deeltjes en wist het helal immens uit de dijen.
108140	112540	En bij dat uitdijende helal proberen we vandaag een beetje stil te staan.
112680	113240	Dat is goed.
113240	119200	Het uitdijende helal van ons is een van de grotere hoofdpijndossiers van de astronomie.
119980	120640	Hoe zit dat?
120840	122520	Ja, daar snap ik dus niks van.
122860	131240	Volgens de algemene relativiteitstheorie van Albert Einstein zou de zwaartekracht op den duur het uitdijen van het helal weer moeten omkeren.
132240	132980	Reik moe.
133040	133240	Reik moe.
133240	133520	Reik moe.
133520	133620	Reik moe.
133620	133700	Reik moe.
133700	133800	Reik moe.
133800	133860	Reik moe.
133860	133920	Reik moe.
133920	134020	Reik moe.
134020	134420	Reik moe.
134420	135020	Reik moe.
135020	135100	Reik moe.
135100	135160	Reik moe.
135160	135200	Reik moe.
135200	135260	Reik moe.
135260	136260	Reik moe.
136260	137200	Reik moe.
137200	138200	Reik moe.
138200	148200	Reik moe.
148740	150620	Reik moe.
150620	152620	Reik moe.
152620	154500	Reik moe.
158500	161160	Reii moe.
161160	161700	Reik moe.
161700	165520	Reik moe.
165520	170460	Het helal bestaat uit een exotische vorm van energie die de ruimte uit elkaar drijft.
171700	177280	Deze exotische energie is nog niet rechtstreeks waargenomen en heet donkere energie.
178800	184020	Voor 1998 wisten we al enkele decennia dat het helal uitdijdt.
184760	189300	Dankzij het werk van astronomen zoals Henrietta Lievitt en Edwin Hubble...
189300	197060	...is ons bekend dat de verder weggelegen sterrenstelsels sneller van ons verwijderen dan dichtbijgelegen sterrenstelsels.
197980	203560	En dit effect wordt ook in alle richtingen waargenomen waaruit we voorzichtig kunnen concluderen...
203560	206300	...dat het complete helal zoals we het nu kennen uitdijdt.
207640	214680	Dat het helal ook nog versneld uitdijdt werd ontdekt door naar de helderheid van type 1a supernova's te kijken.
214680	222820	Deze kosmische gebeurtenissen hebben allemaal een bijna identieke maximale intrinsieke helderheid...
