start	end	text
0	6980	Misschien heeft u wel eens gehoord dat levende wezens op aarde gebruik maken van DNA-moleculen.
7560	14580	DNA is het biochemisch macromolecuul dat fungeert als belangrijkste drager van erfelijke informatie.
15100	21480	Bij mensen, dieren, planten en schimmels vinden we het belangrijkste DNA in de celkern.
21860	29600	Los daarvan vinden we afwijkend mitochondriaal DNA in, u raadt het al, de mitochondriën in cellen.
30300	34380	Planten en algen kunnen ook nog chloroplast-DNA hebben.
35500	43800	Dankzij DNA zijn levende wezens in staat tot voortplanting, groei en autonome reparatie aan hun cellen en weefsels.
44820	48000	En het mooie is, we hebben er nauwelijks omkijken naar...
48800	54020	U hoeft alleen maar een beetje gezond te leven en de rest wordt in de achtergrond voor u geregeld.
54480	58340	Zelfs als u op dat moment op een feestje bent en iets te veel heeft gedronken.
58340	62620	Maar er kleven nog enkele raadsels aan dit DNA.
63340	67460	Eén van de grotere raadsels is het DNA-eiwit-dilemma.
67600	68160	Oh dear.
68540	75420	DNA zorgt voor de opslag van erfelijke informatie en is daarom onmisbaar voor de voortplanting van het leven.
75420	82520	Eiwitten zorgen voor enzymatische omzettingen en zijn daarom onmisbaar voor de instandhouding van het leven.
83120	91880	Maar eiwitten in levende wezens kunnen niet gesynthetiseerd worden zonder DNA, want de structuur van eiwitten staat in het DNA gecodeerd.
92580	97600	Het grote raadsel is dus hoe we tot deze DNA-eiwitfabriek gekomen zijn.
97600	99480	Wat was er eerst?
101200	108660	Het ligt voor de hand dat er sprake was van een voorstadium waarin misschien nog geen sprake was van DNA-moleculen.
108780	110220	Ja, dat is logisch.
110420	113720	Een hypothese staat bekend als de RNA-wereld.
114040	118600	Een term die in 1986 werd geopperd door Nobelprijswinnaar Walter Gilbert.
118600	124940	RNA is, net als DNA, een biochemisch macromolecuul.
125600	132820	RNA speelt een belangrijke rol in het coderen, overbrengen, reguleren en tot expressie brengen van genen.
133660	137100	DNA en RNA-moleculen lijken bijzonder veel op elkaar.
137820	144560	De grote verschillen zijn dat DNA uit een helix van twee strengen bestaat en RNA bijna altijd uit één.
144560	149940	Daarnaast is er in de chemische opbouw één in het oog springend verschil.
151020	156960	DNA is opgebouwd uit meervouden van cytosine, guanine, adenine en timine.
157460	165320	En RNA is opgebouwd uit wederom cytosine, guanine en adenine, maar uracil in plaats van timine.
165980	170780	Dit was even wat informatie als inleiding op de aflevering van vandaag.
172060	174520	We kunnen er nog twee dingen aan toevoegen.
174560	179880	Ten eerste, die hypothese van de RNA-wereld is niet geheel zonder kritiek.
180700	187300	En ten tweede, een vraag die wetenschappers die werken aan het ontstaan van leven mateloos boeit,
187560	190920	is hoe we aan de bouwstenen van die moleculen zijn gekomen.
191580	198460	Was er ooit een planeet aarde waar een soep van organische moleculen leidde tot het ontstaan van primitief leven?
199460	203300	En waar kwamen die organische moleculen dan vandaan?
203300	203920	Hm.
204580	212180	In al die jaren dat we ons bewust zijn van onze omgeving, is nog nooit gezien dat leven opnieuw ontstond uit niet-leven.
212620	216300	De structuur van DNA en RNA is bovendien zo voest ingewikkeld,
217120	223400	dat het ook nog nooit gelukt is in een laboratorium een levend wezen te kweken uit niet-levende materie.
223400	231140	Een van de experimenten die nog het dichtstbij kwam staat bekend als de Belousov-Zabotinsky-reactie.
231800	239280	Dit oscillerende proces is uit en tena bestudeerd, maar er bestaat consensus over dat dit nog geen leven is.
239620	241420	De vraag is dan, ja, hoe dan?
