start	end	text
360	4000	U luistert naar Zimmerman & Space.
8380	10440	Kortstondige maanfenomenen.
10540	11540	Wat moet ik hier nou weer mee?
11720	13720	Wat mag dat dan wel weer betekenen?
14280	18060	Het is de vertaling van het Engelse transient lunar phenomena.
18800	23000	Dit zijn mysterieuze en tot op heden nog niet goed verklaarde gebeurtenissen
23000	27020	die al lange tijd op onze naaste buur, de maan, worden gezien.
27020	31180	En onder lange tijd verstaan we dan al zeker zo'n duizend jaar.
31360	32320	Tjonge jonge, hens!
32460	38040	De kortstondige maanfenomenen verdienen mij eens inziens een hele aflevering van deze podcast
38040	43220	omdat er ooggetuigen verslagen van bestaan van onder andere gerenommeerde astronomen,
43480	45640	astronauten en wetenschappers.
46420	50040	En er zijn er door de eeuwen heen wel heel erg veel gezien.
50040	57660	De term transient lunar phenomenon werd in 1968 bedacht door astronoom Patrick Moore.
58360	63820	Vooral oudere luisteraars zullen zich Moore wellicht herinneren van BBC's The Sky at Night.
63820	67420	If we are ever going to contact those other civilizations which must exist,
67840	73280	it's got to be done, I think, by some method about which we know absolutely nothing at the present moment.
73520	79560	Moore maakte samen met wetenschappers Barbara Middlehurst, J. Lee Burley en Barbara Welther
79560	84100	voor NASA een overzicht van kortstondige maanfenomenen onder de titel
84100	87080	Chronological Catalogue of Reported Lunar Events.
87080	94260	Hierin vinden we een lijst van dergelijke gebeurtenissen, zoals gezien tussen 1540 en 1967.
95860	101480	Ernstig twijfelachtige waarnemingen zijn weggelaten, maar in de introductie schrijven de auteurs wel
101480	111780	Na rigoureuze schrifting houden zij een lijst van maar liefst 579 waarnemingen over.
112380	112900	Zoveel?
112900	118300	Het doel van de lijst is een overzicht te geven van historische en hedendaagse verslagen
118300	122360	om in kaart te brengen wat voor activiteiten op de maan voorkomen.
123320	127900	Moore en collega's kwalificeren een gebeurtenis als een transient lunar fenomeen
128520	131860	als het een tijdelijke verandering aan het maanoppervlak is
131860	136880	die niet het gevolg is van de veranderende stand van de zon ten opzichte van de maan.
136880	143180	Ook gaat het om relatief kleine gedeeltes van de maan, hooguit een paar kilometer breed.
143900	147300	In de waarnemingen worden verschillende soorten veranderingen gezien.
148360	152700	Soms gaat het om een oplichtend gedeelte, maar soms juist om een verduistering
152700	158040	en er is ook soms sprake van kleine sluiers die een gedeelte van het maanoppervlak bedekken.
158040	165720	Het betreft nooit gebeurtenissen die een permanente verandering aan het maanoppervlak laten zien.
165860	167340	Ja, dat is logisch.
167500	168760	Die kennen we natuurlijk wel.
169520	174380	Omdat de maan geen atmosfeer kent, zijn er regelmatig meteorietinslagen op de maan.
175920	180960	Deze zijn bijvoorbeeld gefotografeerd met het om de maan cirkelend ruimtevaartuig LRO,
180960	183360	de Lunar Reconnaissance Orbiter.
183360	192040	Dit in 2009 gelanceerde ruimtevaartuig van NASA maakt ook vandaag de dag nog gedetailleerde foto's van het maanoppervlak.
192620	199460	In het bijschrift van deze aflevering vindt u een mooie foto die het maanoppervlak voor en na een inslag laat zien.
200420	205880	Ook stort er nog weleens een ruimtevaartuig neer of maakt er eentje een zachte landing op de maan.
206340	210920	Ook die veranderingen aan het maanoppervlak kunnen we zien op foto's van de LRO.
210920	218100	Hoe interessant deze gebeurtenissen ook zijn, verscharen ze uiteraard niet onder kortstondige maanfenomenen.
218960	225840	Astronoom Winifred Cameron geeft een gedetailleerde indeling van transient lunar fenomenen in haar artikel
225840	232560	Analyses of Lunar Transient Phenomena. Observations from 557 until 1994 AD.
233220	238820	1. Gasvormige gebeurtenissen waaronder mist, een afdekking van maandetails.
239260	240840	2. Rode verkleuringen.
241840	245100	3. Groene, blauwe of paarse verkleuringen.
245860	248020	4. Helder oplichtende vlekken.
248780	250800	En 5. Verduisterende vlekken.
250800	256120	U denkt misschien mist, rode groene en paarse vlekken?
256240	257140	Is dit echt waar?
257300	259800	Hebben we het hier soms over ufo-achtige onzin?
260520	262880	Chips of an alien source are approaching from the sky.
263180	269000	Maar er zijn honderden van dergelijke waarnemingen geregistreerd en fotografisch vastgelegd.
269640	272220	We zullen er zo meteen een paar langslopen.
272420	272800	Oh, gelukkig.
272800	276440	Verklaringen zijn uiteraard al wel gesuggereerd.
276840	282200	Astronoom Robinson publiceerde er in 1986 een artikel over met als titel
282200	283800	Possible Causes of LTP.
284440	288800	Robinson noemt elf verklaringen, maar ze vallen eigenlijk in vijf categorieën.
289240	290660	1. Getijdenwerking.
291160	296880	De maan wordt continu gemasseerd door de zwaartekracht invoed van onze planeet aarde en ook door de zon.
296880	302780	Hierdoor kunnen breuken ontstaan in het maanoppervlak of zelfs maanbevingen ontstaan.
304400	310220	Gas dat hierbij vrijkomt zou een aandeel kunnen hebben in een aantal transient lunar fenomenen.
310800	313540	2. Frictie door dag-nacht verschillen.
314440	321340	Als de zon opkomt op een gedeelte van de maan kan dit in korte tijd tientallen graden Celsius opgewarmd worden.
321920	326100	3. Interactie van het maanoppervlak met straling van buitenaf,
326100	334060	zoals kosmische straling, de zonnewind, ultraviolette straling of hoogenergetische deeltjes van extra solaire oorsprong.
334720	337040	4. Meteorietinslagen.
337460	341380	En 5. Piezoelektrische gebeurtenissen bij rotsbreuken.
342160	344100	Daarbij kunnen ook optische effecten optreden.
345400	351340	Wellicht heeft u zelf wel eens twee vuurstenen tegen elkaar geslagen en gezien dat daar fonken bij vrijkwamen.
351340	356600	En dan zijn er nog twee categorieën die we beslist moeten noemen.
357180	362400	De eerste is dat de maan geologisch nog actief is, al weten we niet precies in welke mate.
363280	368420	Het kan dus best zijn dat uit het inwendigen van de maan af en toe iets naar boven geduwd wordt,
368700	373480	wat een tijdelijk effect tot gevolg heeft, zoals bijvoorbeeld een uitwaseming van gas.
373480	382520	Het Lunar Prospector maanruimtevaartuig heeft bijvoorbeeld uitwaseming van radongas op de maan gemeten.
383160	386580	Hierover werd in 2005 gepubliceerd in het artikel
386580	397500	Ook tijdens Apollo-missies 15, 16 en 17 werd radon-uitwaseming gemeten.
398360	405060	De tweede extra categorie die we beslist moeten noemen betreft gebeurtenissen die alleen maar op de maan lijken plaats te vinden.
405300	413000	Een satelliet of het International Space Station kan bijvoorbeeld tussen de maan en een waarnemer kortstondig door de zon verlicht worden
413000	416580	en dan als transient lunar fenomeen geïnterpreteerd worden.
416700	417960	Oh ja, inderdaad!
418240	424680	Ook kan een meteoor die opbrandt in de aardatmosfeer net toevallig tussen de maan en een waarnemer flitsen
424680	427960	en dan voor een gebeurtenis op de maan worden aangezien.
428680	431600	En we kunnen het ook nog dichter bij het aardoppervlak zoeken,
431600	435700	want de aardatmosfeer kan het maanlicht dat ons bereikt vertekenen.
436720	440760	Voordat we zo zullen kijken wat de wetenschap er nog over te zeggen heeft,
440760	443480	is het misschien interessant een paar waarnemingen te noemen.
444300	447520	Er is de lijst van het NASA-document van Patrick Moore
447520	452980	en ook Wikipedia heeft een lange chronologische lijst, mocht u er zelf meer over willen leren.
453680	457340	Ik kies er een paar uit die mij aanspreken voor deze aflevering.
457460	458380	Nou, hou je vast!
458380	463700	Te beginnen met nog een tweede naam voor een mysterie dat de mensheid ook al langere tijd bezighoudt
463700	466880	en een subset is van kortstondige maanfenomenen.
466880	472360	Als een ster voor de maan lijkt te staan, noemt men dat ook wel het Coleridge-effect.
473260	476800	Deze benaming komt van Samuel Taylor Coleridge-geschrift
476800	479720	uit de 18e eeuw.
480380	484220	Coleridge zelf zag met eigen oog in 1797
484220	495660	Coleridge was al gefascineerd geraakt over dit fenomeen door een ouder geschrift uit 1712,
496040	498720	de Philosophical Transactions, waarin staat
498720	518720	Op 19 april 1787 zag de beroemde Britse astronoom William Herschel drie rode, gloeiende vlekken op de maan.
519340	523800	De maan was toen een heel dunne, wassende sikkel, dus wij kunnen er voorzichtig van uitgaan
523800	527920	dat Herschel de rode stip op het donkere gedeelte van de maanschijf zag.
527920	534500	Hij informeerde koning George III en collega-astronoom over deze merkwaardige waarneming.
535060	538700	Herschel zelf dacht te kijken naar vulkaanuitbarstingen op de maan.
539460	544400	Toevallig is wel dat in mei 1787 een zonnevlekkenmaximum plaatsvond
544400	546220	wat samen ging met poollicht.
546900	548980	Maar het lijkt mij persoonlijk onwaarschijnlijk
548980	552060	dat iemand van het kaliber Herschel dit niet wist
552060	554520	en poollicht niet als zodanig zou herkennen.
554520	561960	In het jaar 1794 werd beweerd dat mensen met het blote oog
561960	565000	een vulkaanuitbarsting op de maan zouden kunnen waarnemen.
565800	572860	Een en ander staat beschreven in het Journal of the Royal Astronomical Society of Canada, aflevering 63.
572860	581080	Op 24 november 1865 konden drie astronomen anderhalf uur in verbazing kijken
581080	584160	naar een heldere stip op de donkere zijde van de maan
584160	587280	in de buurt van de krater Carlini in Mare Imbrium.
588320	594360	Ook dit is vreemd, want Mare Imbrium lag op dat moment geheel in de duisternis van een wassende maansikkel.
594360	602340	Op 4 januari 1873 zag de Franse astronoom Etienne Leopold Truffelot
602340	605280	dat de maankrater Kant gevuld was met mist.
606500	610120	Op dat moment kwam de zon net op ter hoogte van de krater Kant
610120	612200	in een wassende halve maansikkel.
612960	615800	Als u trouwens zelf maankraters wilt lokaliseren,
615800	619740	ik vind de website van de LRO-missie hier het handigst voor.
620360	623820	Een link vindt u uiteraard in het bijschrift van deze aflevering.
625660	629480	Op 3 juli 1882 zagen verschillende mensen
629480	632600	dat er twee uitsteeksels op de maan zichtbaar waren.
633200	635620	Ze vergeleken de maan met een gehoornde uil.
636620	640460	Op dat moment was de maan net vol geweest en alweer aan het afnemen.
640460	646780	Eind 19e eeuw rapporteerde astronoom William Pickering
646780	649440	dat hij stoom zag in de krater Scheuter.
653580	658320	Op 10 juli 1941 zag amateurastronoom Walter Haas
658320	662020	een bewegende witte stip in de buurt van de krater Handstenen
662020	663640	in Oceanus Spokelarum.
664820	666900	Dit was uiteraard nog geen kunstmaan,
666900	669000	want de eerste kunstman, Sputnik,
669000	672840	werd pas een kleine 20 jaar na de waarneming van Haas gelanceerd.
674280	676960	Toch is dit wel een fascinerende waarneming,
677060	680040	want Mons Handstenen is een opvallende witte vlek
680040	683020	die vandaag de dag met magma wordt geassocieerd.
686300	692960	Op 15 november 1953 werd een flits van ongeveer 8 tot 10 seconden gefotografeerd
692960	694620	nabij de krater Pallas.
694620	700520	Het was toen halve maan en die krater Pallas vinden we zo'n beetje in het centrum van de maanschijf.
700940	705620	Dus wederom is dit het moment dat de zon opkomt in een krater en er dus verhitting plaatsvindt.
708740	713620	Op 2 november 1958 nam de Russische astronoom Nikolai Kozirev
714140	719220	een eruptie op de piek van de maankrater Alfonseswaar die anderhalf uur duurde.
719220	724440	En dat niet alleen, hij zag dit door een 122 centimeter telescoop
724440	726420	die voorzien was van een spectroscoop.
727080	731280	In het spectrum waren lijnen voor specifieke koolstofverbindingen zichtbaar
