start	end	text
0	6400	U luistert naar Zimmerman & Space, een podcast waarin wetenschap en onzin elkaar vredig ontmoeten.
7020	11720	Mens zijn is in vergelijking met de rest van het heelal maar een gekke bezigheid.
12340	19300	Wij hebben problemen zoals een ingescheurde nagel, waarom de bloemkool opeens 3,50 euro is...
19300	23420	of een aanlopende ketting in onze fiets met zeven versnellingen.
24800	29380	En ondertussen om ons heen is er een heelal waarvan wij de grote niet kennen...
29380	33840	waarin veel zwaardere zaken spelen over enorme tijdspannes.
36220	41500	Regelmatig hadden we het al over zwarte gaten, maar één onderdeel daarvan heb ik nog nooit belicht.
41980	46280	Het zogenaamde Tidal Disruption Event of TDE.
47200	50020	Dus laten we daar vandaag samen eens naar kijken.
50720	56820	Eerst wat het is en dan een opmerkelijk mysterieus bericht uit de recente wetenschappelijke pers.
56820	62380	Letterlijk vertaald is het een getijden ontregelende gebeurtenis.
62980	68920	Die ontregelende gebeurtenis nemen we waar als het plotselinge levenseinde van een ster...
68920	71920	die als een sliert een zwart gat in wordt gezogen.
73280	76080	Spaghettificatie is de officiële term hiervoor.
76800	81100	Deze term horen we vaak hand in hand met de beschrijving van wat er gebeurt...
81100	85140	als een arme astronaut te dicht in de buurt van een zwart gat zou komen.
86180	92880	Maar hetzelfde dramatische lotwachtsterren die te dicht in de buurt komen van de zwaartekracht van een zwart gat.
93420	95100	En dit is niet alleen een hypothese.
97000	99980	Spaghettificatie is daadwerkelijk meerdere malen waargenomen.
99980	105080	De eerste keer dat dit zichtbaar werd was nog maar in 2018.
105960	109980	In een duo van sterrenstelsels met de naam ARP-299...
110980	115480	op een gemoedelijke afstand van 150 miljoen lichtjaar van ons vandaan...
115480	121860	werd zichtbaar hoe een ster met twee keer de massa van onze zon tot een sliert werd uitgerekt door een zwart gat.
122400	125980	In onze fantasie gebeurt zoiets misschien in een onderdeel van een seconde...
125980	131200	maar in werkelijkheid duurt zo'n sterrendood al gauw een paar aardse jaren.
132060	138080	Gedurende die tijd zien we doorgaans straling uitgezonden worden door zo'n tidal disruption event.
138960	144140	De spaghettificatie in ARP-299 was min of meer een toevalstreffer.
144800	147980	Er werd gezocht naar supernova's in twee botsende sterrenstelsels.
147980	153980	Maar in 2005 zagen astronomen onverwachte flits in het infrarode spectrum...
155120	158700	gevolgd door radioemissies vanaf dezelfde locatie.
159460	165620	Deze radiostraling komt vrij bij het overlijden van een ster in zo'n tidal disruption event.
166620	170380	Laten we eens kijken naar de anatomie van zo'n gebeurtenis.
170620	171060	Oké.
171060	172200	De naam zegt het al.
172960	174800	Getijdenkrachten spelen hierbij een rol.
175320	177300	En die kennen we natuurlijk op aarde ook.
177300	183840	eb en vloed, het zich altijd maar herhalende ritme van onze zeeën en oceanen.
185340	190040	Getijdenkrachten hebben rechtstreeks te maken met de onderlinge zwaartekracht tussen objecten.
190980	193980	We weten dat zwaartekracht afneemt met de afstand.
195000	200760	Specifieker kunnen we zeggen dat de zwaartekracht omgekeerd evenredig is met het kwadraat van de afstand.
200760	217280	Als u op die bewering afhaakt, geen zorgen, want de rest van deze column blijft heel beeldend en simpel te begrijpen.
217360	217860	Dat is goed.
217860	226360	Wat uit deze feiten over de zwaartekracht volgt, is dat de zwaartekracht harder trekt aan iets wat dichtbij is dan aan iets wat veraf is.
226540	228000	Ja, dat is logisch.
228000	231280	Precies daarom ervaren we eb en vloed zoals we doen.
231960	235900	De zon en de maan trekken allebei met hun zwaartekracht aan onze aarde.
236520	243360	En die waterdeeltjes van onze oceanen zijn vloeibaar en laten zich collectief in een bepaalde richting trekken.
243360	250120	Maar het is niet zo dat de hele watermassa op aarde als één geheel één kant op beweegt.
250800	258160	Kijken we zijdelings naar de aarde, dan zien we dat de watermassa als een soort ei afgeplat wordt door die getijdenkrachten.
259000	262760	Vloed zien we dan aan weerszijden van het ei aan de puntige kanten.
263800	265960	En dat is wat getijdenwerking inhoudt.
266060	270760	Een deformatie, een vervorming van massa als gevolg van de zwaartekracht.
270760	275440	Er is een aardig gedachte-experiment wat het misschien nog duidelijker maakt.
276080	282040	Stel u voor dat we vier afzonderlijke ballen in de vorm van een ruit in de buurt van de aarde hangen.
282780	283740	We laten ze los.
284640	287220	Eén bal van die ruit is dichterbij de aarde.
287740	292220	Twee ballen staan er iets achter, verder weg van elkaar en verder weg van de aarde.
292780	294680	En achteraan is weer één bal.
294960	300560	De ruitvorm van deze vier losse ballen wijst als het ware naar het centrum van onze aarde.
301240	305800	De zwaartekracht van de aarde gaat aan de ballen trekken waardoor ze naar de aarde bewegen.
306740	310560	Ze vallen steeds sneller, maar dat is niet het enige wat er gebeurt.
311180	316760	Die twee ballen in het midden van onze ruit bewegen onherroepelijk bij het vallen naar de aarde ook iets naar elkaar toe,
317000	320200	omdat ze allebei richting het centrum van onze aarde bewegen.
320560	325480	En die achterste bal zal iets minder snel vallen ten opzichte van de voorste bal.
326280	329960	Het netto resultaat is dat onze ruit steeds platter wordt.
330760	336860	En hetzelfde gebeurt met een voorwerp dat uit miljarden balletjes bestaat, zoals bijvoorbeeld een ster of een mens.
338100	339500	We kunnen het nog gekker maken.
340100	344300	De zwaartekracht bij uw voeten trekt iets harder aan u dan bij uw hoofd.
344500	347420	Maar dat verschil is zo klein dat we er geen last van hebben.
347420	352880	De kaarten liggen echter anders als we in de buurt van een zwart gat gaan rondzweven.
353720	362740	Dan gaan we in een rap tempo van een tintelende sensatie over naar een behandeling waar zelfs de meest ervaren chiropractor bezwaar bij zou hebben,
363060	366860	tot we als een sliert atomen in het zwarte gat terechtkomen.
366860	377380	In die staat bent u uiteraard al lang ingeschreven bij het eeuwige koor en kunt u helaas niet constateren dat een en ander veel weg heeft van vloed op aarde.
378800	381220	Spaghettification, het is echt een officiële term.
381220	389000	Waarschijnlijk werd spaghettificatie voor het eerst gebruikt door Nigel Calder in de documentaire The Key to the Universe,
389160	393860	die bij ons in 1977 verscheen als sleutel tot het heelal.
394000	398580	Denk maar eens aan een ongelukkige ruimtevaarder die gevangen wordt door de kracht van een zwart gat.
399320	405640	Hij zou dan ongelooflijk sterke getijdenkrachten voelen die hem uitrekt naar zijn sliert spaghetti voordat hij in de vergetelheid valt.
405640	415880	Voor nu even genoeg denkbeeldig menselijk leed, laten we ons verder concentreren op sterren.
416580	423720	In iedere situatie waarbij een ster te dicht in de buurt komt van een zwart gat, kan zo'n tidal disruption event optreden.
423840	430060	Maar het wordt uiteraard waargenomen in de superzware zwarte gaten in het centrum van melkwegstelsels,
430300	435240	waar sowieso sterren dicht in de buurt van een extreem zwaar zwart gat worden aangetroffen.
435640	440220	Als een ster in zo'n tidal disruption event tot sliert wordt getrokken,
440380	445560	wordt de massa van de ster of een deel daarvan een deel van de accretie schrijven rond een zwart gat,
445720	449180	om uiteindelijk te verdwijnen achter de waarnemingshorizon.
450560	454000	Factoren die hierbij een rol spelen zijn de massa van het zwarte gat,
454180	456360	de massa en samenstelling van de ster,
456600	459440	maar ook de hoek waaronder een ster het zwarte gat benadert,
459660	461980	en de rotatiesnelheid van het zwarte gat.
461980	468520	Bij die gebeurtenissen treedt een flits op in het elektromagnetisch spectrum,
468740	471060	die we in sommige gevallen kunnen waarnemen.
472080	475240	Het zijn relatief kortdurende gebeurtenissen,
475440	480260	dus we moeten op het juiste moment naar een bepaalde plek in het heelal kijken of luisteren,
480560	482480	en ook nog op de juiste frequentie.
482820	487620	Want soms zal een tidal disruption event niet in zichtbaar licht waargenomen kunnen worden,
487620	491460	omdat er stofwolken tussen de gebeurtenissen en ons in de weg staan.
492040	497260	Maar infrarode, röntgen en radiostraling kunnen door deze barrières heen reizen
497260	499120	en toch waargenomen worden.
500020	503400	Het aardige aan de waarneming van een tidal disruption event is
503400	508040	dat dit bij uitstek dé methode is om een zwart gat überhaupt waar te nemen.
508520	513540	Want zonder sterfgevallen van sterren en materie is een zwart gat moeilijk waarneembaar.
513540	518260	Ik zeg expres niet onmogelijk, want de zwaartekracht van een zwart gat
518260	521520	kan een relativistische lenswerking veroorzaken,
521660	525620	waardoor het licht van de achtergelegen sterren zichtbaar afboogt.
526160	528860	Maar omdat een zwart gat zelf geen straling uitzendt,
528900	531340	is het per definitie lastig waarneembaar.
