start	end	text
0	3560	Mijn naam is Dave en je luistert naar Zimmerman & Space.
4600	5700	Bedankt Dave.
6460	12000	Dat was Dave, bekend onder andere van ZEP eSport F1 Racessimulatie.
14380	21320	Ach, in dit raceachtige bestaan hebben we soms wat behoefte aan rust aan ons hoofd.
21540	29060	Vandaar dat we ons vandaag in gedachten verplaatsen naar een plek waar de ultieme rust is neergestreken
29060	32040	nadat de zon ter plekke was opgebrand.
32980	40700	Waar we heen gaan is geen fictieve plek, maar wat u er verder allemaal in uw hoofd bij verzint is natuurlijk gewoon uw zaak.
41720	47840	Dus sluit rustig de ogen en dan reizen we negentig lichtjaar door de ruimte
47840	55100	naar een vreemde plek rond de witte dwergster WDJ 2147 4035.
55100	63260	Deze smeulende rest van wat ooit een normale ster was is zo'n 10 miljard jaar oud.
64360	68800	Dat betekent dat de geboorte, het leven en de dood van dit zonnestelsel
68800	73340	plaats hebben gevonden ver voordat onze aarde überhaupt bestond.
73340	85620	Elk probleem dat u of ik ooit hadden is pas van na dat de totale rust was neergestreken in het WDJ 2147 4035 zonnestelsel.
86440	93940	Dat lot, dat een ster sterft als de brandstof op is, staat ons zonnestelsel ook ooit te wachten.
94700	99300	Maar dat probleem kunnen we gelukkig nog 5 miljard jaar voor ons uitschuiven.
99300	110400	Zo'n 97% van alle sterren in het voor onze bekende Hilal zal uiteindelijk evolueren tot een witte dwergster.
111580	115800	In een witte dwergster vindt geen waterstoffusie meer plaats.
116580	122540	Het zijn ook maar kleine objecten, ongeveer zo groot als onze aarde, maar veel dichter qua massa.
122540	127320	Feitelijk is het ook de rest van de kern van een oude ster.
128140	134220	Wat er nog aan straling uit zo'n witte dwergster komt, is de restwarmte van de oude ster.
135100	137900	Het nagloeien van iets wat ooit was.
139380	145540	Hier in het WDJ 2147 4035 zonnestelsel, waar wij wat rondzweven,
145540	151800	vinden we rond die witte dwergster de resten van wat ooit planeten waren.
152860	159580	Dat is wel bijzonder, want dit is dan zo'n beetje het oudste bekende planetenstelsel in onze melkweg.
160900	165480	Misschien was er ooit zelfs wel intelligent leven op een van deze planeten.
165780	166560	Wie zal het zeggen?
167720	171180	Als de bewoners van zo'n planeet wetenschap hadden ontwikkeld,
171180	175280	dan zagen ze het lot van hun ster misschien wel op tijd aankomen
175280	179860	en zijn ze wellicht en masse verhuisd naar een ander zonnestelsel.
180560	184420	Of misschien was er maar beperkt plaats in het verhuisruimteschip
184420	187200	en hebben alleen de haantje de voorsten,
187460	189780	zij met de grootste mond en de meeste macht,
190080	192840	en niet per se de meest aangename bewoners,
193360	196060	een andere planeet gevonden om opnieuw te beginnen.
196980	199700	Er is hier wel wat raars aan de hand.
199700	203440	Om dat te begrijpen verplaatsen we ons in gedachten
203440	207120	naar het oppervlak van een van deze planetenresten.
208200	212140	Kijk, vaste grond onder de voeten, dat is toch ook wel prettig.
213040	216060	Dit rotsblok is groot genoeg dat we erop kunnen springen
216060	219700	en door de geringe zwaartekracht weer naar beneden worden getrokken.
220560	225640	We genieten van de enorme sprongen die we kunnen maken met ons ongetrainde lichaam.
225640	230300	Met ons ruimtepak aan nemen we een bodemmonster.
232880	235180	Als we ons bodemmonster onderzoeken,
235440	238160	zien we dat wat we hier uit de grond hebben geboord
238160	240860	vooral bestaat uit lithium en kalium.
241820	244360	Dat zijn niet de elementen die we thuis op aarde
244360	247580	direct als eerste in een bodemmonster zullen aantreffen.
247580	252740	Op aarde bestaat slechts 2,4% van de aardekorst uit kalium
252740	259180	en tussen de 0,002 en 0,006% uit lithium, volgens Science Direct.
259540	263240	Het is een complete mysterie, zegt astronoom Abigail Elms,
263380	267740	die er samen met collega's over publiceerde in The Oxford Academic.
268420	269860	Haar artikel heeft als titel
269860	280280	WDJ 21474035 is een extreem koude
280280	283660	en met metaal verrijkte witte dwergster.
284520	288440	Koud betekent dan met een temperatuur van minder dan 4000 Kelvin,
289120	290940	maar dat is voor een ster niet veel.
291780	294060	Voor wie de natuurkunde te ver is weggezakt,
294060	300100	4000 Kelvin is gelijk aan 3726,85 graden Celsius.
300820	303380	Dus dat is nog steeds genoeg voor een flinke blaar.
304400	307020	Wat wel interessant is, is dat dit kerkhof
307020	309080	van wat ooit een zonnestelsel was,
309640	313580	onderdeel uitmaakt van de galactische schijf van onze eigen melkweg.
314480	317060	Dat betekent dat onze melkweg dus ook beslist
317060	319760	al 10 miljard jaar geleden moet hebben bestaan,
320400	322660	in ieder geval in een of andere vorm.
322660	326740	De oudste bekende ster in onze melkweg is trouwens
326740	329860	HE 1523-0901,
330380	333660	die naar schatting zelfs 13,2 miljard jaar oud is.
334060	337400	Maar daaromheen is nog geen planetenstelsel aangetroffen.
338540	342660	We weten door het werk van astronoom Amina Helmy sinds 2018
343200	345980	dat onze melkweg ooit is ontstaan
345980	348960	door het samengaan van verschillende sterrenstelsels.
349420	352480	Professor Dr. Helmy is overigens nu werkzaam
352480	356980	als docent aan het kapiteininstituut van de Rijksuniversiteit Groningen.
356980	363520	We staan nog steeds op deze verloren rots van lithium en kalium.
364720	367980	Daar in de verte hangt die vreemde koe de witte dwergster.
367980	374380	Het artikel hierover noemt deze witte dwergster verrijkt met metaal.
374980	380400	Dit is iets wat we in 25 tot 50 procent van de witte dwergsterren tegenkomen,
380920	382940	een metaalverontreiniging.
384020	387340	Dat metaal is daar terechtgekomen doordat planeten
387340	392140	of resten daarvan op de overleden sterkern zijn terechtgekomen,
392140	394740	ooit in een ver, ver verleden.
395680	399820	Niet alle planeten worden verwoest bij het einde van het leven van een ster.
400520	403840	Het is goed mogelijk dat een paar planeten dicht bij de ster
403840	408340	direct al werden verzwolgen toen de ster eerst een rode reus werd.
408520	413000	Dat is het voorstadium voordat zo'n ster een witte dwergster wordt.
413880	419200	Net zoals de zijnertijd onze zon de planeten Mercurius en Venus zal verzwelgen.
419200	424440	Maar planeten verder weg blijven rond die overleden ster cirkelen
424440	429140	en een deel zal uiteindelijk terechtkomen op wat er van die ster over is.
430020	433420	Voordat dat gebeurt kunnen de planeten uit elkaar getrokken worden
433420	435900	door de zwaartekracht van die witte dwergster.
436900	442800	Bij WDJ 21474035 is waarschijnlijk iets dergelijks gebeurd,
442800	445920	dus het metaal dat we aantreffen in de witte dwergster
445920	451480	komt misschien van een planeet waar ooit cultuur, kunst en wetenschap werden bedreven.
452360	456160	Wellicht had die planeet ook een vloeibare kern, net als onze aarde,
456400	460380	waardoor er een magneetvat omheen bestond dat de bewoners beschermde
460380	462740	tegen schadelijke kosmische straling.
463980	467820	We slenteren in ons ruimtepak nog wat over dit brokstuk.
467820	473680	Het is hier ongeveer net zo gezellig als het op een regenachtige dag in IJsland is.
474400	477640	Gewoon een hoop niks en rots tot aan de horizon.
479120	483600	Geen idee waarom we hier zoveel lithium en kalium in de bodem aantreffen.
484660	488020	Ook Abigail Elms en haar team kunnen het ons niet zeggen.
488020	494900	Wat het artikel ons wel leert is dat die witte dwergster ook een merkwaardig magneetveld heeft.
495660	499560	Dat is iets wat we niet standaard aantreffen bij witte dwergsterren.
500400	504940	U vraagt zich misschien af hoe we in vredesnaam een magneetveld kunnen aantonen
504940	509300	bij een witte dwergster die op 90 lichtjaar van ons verwijderd staat.
510000	513600	Dat heeft te maken met het zogenaamde Zeeman-effect,
514140	517260	genoemd naar de Leidse natuurkundige Pieter Zeeman.
518020	521300	Het Zeeman-effect is het natuurkundige verschijnsel
521300	524020	dat spectraallijnen van een atoom worden opgesplitst
524780	527560	in de aanwezigheid van een sterk magnetisch veld.
528300	531960	Wat in het spectrum eerst één enkel dun lijntje was,
532240	536120	wordt dan zichtbaar als meerdere spectraallijnen vlak naast elkaar.
536980	540160	Het externe magnetische veld heeft tot gevolg
540160	545220	dat de twee mogelijke spintoestanden van het elektron in energie gaan verschillen.
545220	548880	Met het externe veld meegericht of er tegenin.
549560	553220	Dit is trouwens één van de bewijzen voor het bestaan van kwantisatie
553900	556180	in de elektronenbanen rond het atoom
556180	561220	en daarmee één van de sterkste aanwijzingen van de juistheid van de kwantummechanica.
561220	566580	In de praktijk lukte dit voor het team van Abigail Elms
566580	569520	door naar de spectra van de witte dwergster te kijken
569520	572120	met behulp van de Gaia-satelliet.
572800	577860	De onder normale omstandigheden enkelvoudige lithiumlijn in het spectrum
577860	581240	was zichtbaar als drie lijnen vlak naast elkaar.
582380	586520	Dit is het Zeeman-effect op 90 lichtjaar van ons vandaan.
586520	590540	Al met al bevinden we ons wel op een rare plek
590540	594800	dit superoude kerkhof van wat ooit een zonnestelsel was.
595680	598880	Maar rustgevend is het hier wel in zekere zin.
599660	602380	Deze plek waar geen problemen meer bestaan
602380	606020	waar geen oorlogen meer zijn als die er al ooit waren
606020	610560	waar het bancaire systeem niet op het punt van omvallen staat
610560	613880	en waar water, als het hier al ooit stroomde
613880	617320	niet schaars is of eilanden van de kaart veegt.
618360	620160	Hier is alles voorbij.
621280	625580	Dus laat ons rustig nog wat rondlopen in dit barre landschap.
626500	631460	Bij gebrek aan atmosfeer zien we de meest fantastische sterrenhemel door onze helm.
631460	634740	Al is het lastig om er sterrenbeelden in te herkennen
634740	638680	zo'n 90 lichtjaar verwijderd van de vertrouwde aarde.
639780	643460	Dan valt onze blik op iets wat er artificieel uitziet.
644400	647440	Het ligt op deze verlaten plek op ons pad.
648560	652600	Het lijkt een beetje op een oude handdoek met een inscriptie.
653800	655080	Wat zou er staan?
655800	657460	Eat at Luigi's?
657860	660380	Oh nee, natuurlijk, er staat...
660380	663040	Dat zullen we dan maar niet doen.
663660	667100	Wel te rusten of gewoon tot de volgende keer.
