start	end	text
0	2820	Een vakantie op de planeet Mars.
3720	6000	Ontdek de astronaut in uzelf.
6900	13440	Geniet van de weldadige valversnelling en bezoek ook ons zwembad voor maar 3000 euro extra.
14160	15980	Omdat u het waard bent.
17140	18520	Aan deze aanbieding zijn voorwaarden verbonden.
18780	20720	Resultaten behaald in het verleden bieden geen garantie voor de toekomst.
20820	22820	Verzekering verplicht. Huisdieren niet bij de prijs inbegrepen.
22960	23680	Risico op terminalis.
23740	28200	Misschien adverteert uw favoriete reisbureau al met vakanties naar Mars.
28200	36200	Lekker de aardse problemen achter ons laten en samen met andere luxe beesten met een uitpuilende portemonnee vertrekken naar onze buurplaneet.
37400	38600	Hé, maar wat is dat nou?
39220	42920	Deze zomer leerden wij dat de dagen op Mars steeds korter worden.
43500	45400	Zelfs CNN kopte erover.
45580	48640	Mars is rotating more quickly. NASA mission finds.
48920	51200	Al dus CNN correspondent Ashley Strickland.
51200	58360	Dat is natuurlijk geen goed nieuws, want tijd is de enige luxe waar we altijd maar te weinig van lijken te hebben.
58360	70500	Laten we vandaag samen eens kijken naar dit dramatische Mars nieuws en zien of we inderdaad binnenkort van die rode planeet worden gezwiept als deze te snel begint te draaien.
71500	73840	Om te beginnen met die vakantie naar Mars.
74460	77620	Ik zie het eerlijk gezegd niet meer gebeuren tijdens mijn leven.
78160	79760	Maar ik ben dan ook al 56.
79760	88020	Dat is de leeftijd dat internetreclame al begint over trapliften, dentale implantaten en daten met medebejaarden.
88680	99100	Maar voor sommige jonge luisteraars van deze podcast komen er misschien nog wel mogelijkheden voor een vakantiehuisje met uitzicht en razendsnel internet op de rode planeet.
99860	107120	De reeds overleden astronoom Patrick Moore schreef er al over in 2005 en suggereerde terra-vorming van Mars.
107120	112920	Daarbij wordt de planeet met aardse inmenging veranderd in een soort aarde 2.0.
113580	120620	We veranderen dan de atmosfeer en planten er wat vegetatie, zodat het op den duur een paradijs voor mensen zal zijn.
121520	132240	In theorie zou het nog wel kunnen, maar Patrick Moore waarschuwde in datzelfde artikel al dat het astronomisch kostbaar zal zijn om zo'n onderneming succesvol uit te voeren.
132240	142360	Ook dacht Moore dat het alleen zou lukken in een wereld waarop iedereen permanent in vrede met elkaar leeft en waar alle landen in vertrouwen en met respect met elkaar omgaan.
142460	144380	Hmm, dat weet ik nog niet zo zeker.
144580	149040	Dat klinkt misschien wel erg optimistisch als we vandaag de dag een krant openslaan.
149580	152180	En ook Moore was zich hier ter degen van bewust.
152180	158020	Hij suggereerde dat de zaken er in het jaar 3005 misschien rooskleuriger voor staan.
158020	167560	Ik stel voor de dystopische vakantieplanningen voor nu te laten voor wat ze zijn en het maar eens over de feiten te hebben.
168660	171040	Mars is een kleinere planeet dan onze aarde.
172080	179760	De massa van Mars is ongeveer 0,107 keer die van onze aarde en daarmee is de valversnelling ook veel kleiner dan bij ons op aarde.
180700	183560	Zo'n 3,7 meter per seconde kwadraat.
183560	189800	Handig daaraan is dat als u dan toch tijdens uw welverdiende pensioen op Mars mocht komen te struikelen,
190140	195560	dat u dan een kleinere kans heeft uw heup te breken op basis van alleen de valversnelling dan op aarde.
195760	196060	Jee!
196340	201560	De keerzijde is dat we als mensen brozere botten krijgen als gevolg van een geringere zwaartekracht.
202600	209400	Dus mogelijk heft dat nadeel het voordeel weer op en belandt u alsnog in het Marciaanse ziekenhuis voor een kunstheup.
209400	215660	Een Marsjaar duurt veel langer dan een aardsjaar, namelijk zo'n 687 dagen.
216140	219120	Dat is toch goed nieuws als u uw verjaardag liever niet viert?
220080	224540	Een etmaal op Mars lijkt daarentegen verrassend veel op een etmaal op aarde.
225180	230800	De synodische dag van Mars duurt 24 uur, 39 minuten en 36 seconden.
230940	232460	Mag het in het Nederlands?
232460	237200	Wie planetentabellen bekijkt zal ook vaak de siderische dag vermeld zien staan.
237940	240200	Het verschil zit hem in het referentiekader.
240780	247540	Op aarde hebben we het in het dagelijks taalgebruik ook over een synodisch etmaal dat bij ons 24 uur duurt.
248220	252120	Dat is de tijd tussen de ene zonsopgang en de volgende zonsopgang.
252120	259020	Als we het over synodische rotaties hebben, dan kijken we naar onze zon als referentiepunt.
259540	264320	We kunnen ook onze rotaties ten opzichte van verder weggelegen sterren beschouwen.
264540	265040	Tuurlijk!
265140	267380	Dat heet dan een siderische omwenteling.
268180	273700	Zo'n siderisch etmaal duurt op zowel Mars als op aarde iets korter dan een synodisch etmaal.
