start	end	text
0	2420	U luistert naar Zimmerman & Space.
3020	11140	In de vorige aflevering zagen we al dat protonen veel ingewikkeldere quantumobjecten zijn dan we misschien vroeger op school leerden.
11920	16600	In deze aflevering zullen we nog wat dieper kijken naar de implicaties van dit gegeven.
17240	28240	Want als een proton, dat we stevast in de kern van elk atoom in het heelal tegenkomen, al zo'n ingewikkelde onzekere quantumtoestand is, wat gaat daar dan aan vooraf?
28240	33820	Hmm, misschien heeft u al wel eens gehoord over quantumvelden en virtuele deeltjes.
34400	37420	In deze podcast hebben we het er zelfs al wel eens over gehad.
37620	45740	Als u er een aantal jaar geleden over heeft gelezen of gehoord, dan was een en ander nog erg speculatief en in nevelen gehuld.
46900	52580	Daarom lijkt het me aardig om deze aflevering wat nieuwere ontwikkelingen op dit gebied te bespreken.
52580	58600	Er is een theorie die zegt dat op het meest basale niveau alleen velden bestaan.
60440	70620	Deze quantumvelden theorie levert wat we een verenigd kader zouden kunnen noemen voor de beschrijving van veldachtige objecten en deeltjesachtige objecten.
70620	76700	Veldachtige objecten zijn dan bijvoorbeeld fotonen, zoals bij licht, warmte en radiostraling.
77500	82440	En deeltjesachtige objecten zijn dan bijvoorbeeld quarks, elektronen, et cetera.
83340	88080	Hoe exotisch dit ook klinkt, het is momenteel de beste omschrijving van de werkelijkheid.
88080	92740	Die boom die u bijvoorbeeld uit uw raam ziet bestaat uit moleculen.
93320	95180	Dat zijn weer verbindingen van atomen.
95840	103600	Die atomen bestaan uit deeltjes en die deeltjes bestaan alleen in die vorm omdat ze tijdelijk in een geëxciteerde staat bestaan.
104120	110960	Dat wil zoveel zeggen als dat wij een deeltje waarnemen dat ontstaat waar een bepaald veld in een bekrachtigde staat verkeert.
110960	119760	Zou er op dit moment een hoog energetisch deeltje uit het heelal dwars door onze atmosfeer reizen en tegen een atoom in onze boom beuken,
120260	129500	dan zou het surplus aan energie de deeltjes in het atoom misschien dwingen om een bekrachtigde staat op te geven en over te gaan in een regen van andere deeltjes.
131480	138000	Die een andere staat van het onderliggende veld inhouden en door ons niet meer als boom worden waargenomen.
138000	145420	Gelukkig gebeurt dit niet aan de lopende band, want dan zou het leven nog ingewikkelder en onbegrijpelijker zijn dan het al is.
152700	158320	Om ons eerste verhaal goed te begrijpen zullen we het eerst moeten hebben over een speciaal materiaal.
159680	160200	Grafeen.
160920	165800	Dit bestaat uit een tweedimensionale honingraadstructuur van koolstofatomen.
165800	168800	Een honingraadstructuur noemen we ook al hexagonaal.
