start	end	text
900	3780	Hoe heet de burgemeester van Wezel?
6020	8920	Dat schreeuwt men in de nabijheid van een rotswand.
11220	18000	Waarschijnlijk komt het idee van de burgemeester van Wezel uit het dorpje Oberwezel aan de Midden-Rijn in Duitsland.
18920	29500	De spreuk Wie heißt der burgemeester van Wezel komt regelmatig voor in reisverslagen van boottochtjes over de Rijn in de buurt van de steile rotswand van Lorelei.
30000	33360	Een plek die bekend staat om de mooie, heldere echo's.
35140	37520	Want dat is wat dit is, een echo.
39520	43540	In de volksmond worden echo en galm nog wel eens door elkaar gehaald.
44480	49780	Echo is strikt genomen het effect dat we één of meer discrete kopieën van een geluid kunnen horen.
51060	59460	Een galm, dat is dit, dat er zoveel weerkaatsingen plaatsvinden dat we een diffuus tapijt van kopieën dwars door elkaar horen.
60000	68940	Beide effecten, zowel echo als galm, worden veroorzaakt door weerkaatsingen van geluidsgolven door de omgeving.
68940	74940	En afhankelijk van de fysieke omstandigheden van die omgeving horen we bijvoorbeeld echo's.
76740	77980	Of galm.
79380	82100	Of zelfs galm met een pre-delay.
82100	90620	Echo's zijn mooi separaat te horen als er een gladde rechte wal is waar ons geluid tegenaan kan ketsen.
91320	100660	En om dat geluidsgolven tamelijk langzaam voor te bewegen, met zo'n 343 meter per seconde, kunnen we wachten op het arriveren van de kopie.
100660	101460	Kopie.
102240	107600	Al dit gezwets over echo's is uiteraard een inleiding op een astronomisch verschijnsel.
107680	109420	Ja, daar konden we natuurlijk op wachten.
110080	114620	Want straling kan op vergelijkbare wijze door de omgeving weerkaatst worden.
114620	126000	Als u met een laser op een spiegel schijnt en het stipje van de laser achter u op de muur weerkaatst ziet, is dat een benadering van die geluidsecho.
127280	131620	De schemerlamp die de hele kamer doet oplichten komt weer meer in de buurt van galm.
132020	133280	Ja, ja, nu begrijpen we het wel.
133840	137980	Op 21 juni van dit jaar verscheen een artikel in Nature met de titel
137980	143660	X-ray polarization evidence for a 200 year old flare of Sagittarius A-star.
143660	147320	Van Frederik Marin en een lange lijst van collega-auteurs.
148960	158080	Dat Sagittarius A-star in de titel genoemd wordt, laat ons direct weten dat we het hier voor de zoveelste keer hebben over het centrum van onze melkweg.
159300	164380	Buitengewoon interessant vind ik dat we het over een Duits bestek van 200 jaar hebben.
165120	167960	Dat is een onastronomisch korte periode.
168680	170520	Ik bedoel maar 200 jaar geleden.
170780	172280	Dat is nog maar 1823.
173660	181640	Een bepaald onderdeel uit de titel polarisatie staat centraal in deze ontdekking en behoeft misschien wat uitleg.
182760	189660	We zullen het een beetje versimpelen, maar in grote lijnen krijgt u dan hopelijk een kloppend beeld van wat polarisatie is.
190700	193880	Golven transporteren informatie door een ruimte.
194640	198880	Dat gebeurt in de tijd, dus we kunnen een richting bij een golf aanwijzen.
198880	209000	Als iemand op een paar meter afstand van u tegen een tennisbal mept, wordt de trilling van de atmosfeer van de tennisbal naar uw trommelvlies getransporteerd.
210080	210880	Dat is een geluidsgolf.
211620	212580	No shit, Sherlock.
212580	223000	Zouden we in staat zijn zo'n geluidsgolf onder de microscoop te bekijken, dan zien we dat dit een sliert van verdichtingen en verdunningen van de moleculen in de aardatmosfeer is.
223000	229420	Dit heet een longitudinale golf en werkt een beetje zoals een regenworm voortbeweegt.
229900	234540	Het lijfje van de worm verdicht op bepaalde plaatsen en verdunt daartussenin.
235400	239000	Zo bewegen de geluidsgolf en de regenworm van A naar B.
239560	241860	Een treintje van verdichtingen en verdunningen.
242760	246280	Zo'n longitudinale golf kent geen polarisatie.
246740	252500	Heel anders is het bij elektromagnetische golven zoals licht, radio en röntgenstraling.
253000	259980	Hier zien we een elektrisch en een magnetisch veld die beide loodtrechten op de richting van de golf heen en weer trillen.
261220	266880	Dit heet een transversale golf en is beter te vergelijken met hoe bepaalde slangen voortbewegen.
267400	274200	Een slang die gekronkeld in het graslicht en richting u loopt, heeft een duidelijk vlak waarin deze beweegt.
274200	283660	Kantelen we de slang een kwart slag, dan zou deze als een soort lochnesmonster in een andere polarisatiehoek richting ons bewegen.
284660	292520	Maar in de praktijk zal de slang hem waarschijnlijk smeren, ons in de vingers bijten of als een boze kluwe gaan liggen sissen.
292520	299860	Maar hopelijk krijgt u nu een beetje een beeld van wat een transversale golf is en wat polarisatie in dat geval betekent.
300000	301160	Ik ben niet zeker, ik begrijp.
302160	311020	Voor polarisatie kijken we naar de hoek waaronder de elektrische component van elektromagnetische straling ten opzichte van de richting van de golf staat.
311720	316460	Voor de meeste lichtbronnen die wij kennen, zoals bijvoorbeeld een gloeilamp of onze zon,
316460	322140	is de polarisatie van het licht een optelsom van allerlei willekeurige polarisaties.
322560	324860	Maar we kennen wel een hoop uitzonderingen.
324920	325820	Oh, gelukkig!
326040	330960	Zonlicht dat gereflecteerd wordt door een watermassa of een motorkap op uw auto,
331260	338920	kan bij de reflectie sterk gefilterd worden, waardoor het gereflecteerde licht ons bereikt onder één bepaalde polarisatiehoek.
339680	344460	De Polaroid zonnebril en ook het polarisatiefilter voor op een fototoestel
344460	350020	zijn beide in staat dit gereflecteerde licht te onderdrukken op basis van die polarisatiehoek.
350820	356520	Draaien we de Polaroid zonnebril dan een kwart slag, dan zal het effect van de zonnebril sterk verminderen.
357520	363660	Ook LCD-displays zoals van bijvoorbeeld sommige horloges maken gebruik van een polarisatiefilter.
364480	369660	U kunt het duidelijk zien door uw Polaroid zonnebril ervoor te houden en dan langzaam rond te draaien.
369660	375920	Radio-uitzendingen kunnen gepolariseerd uitgezonden worden door de stand van de zendantenne.
378920	383860	Zend- en ontvangstantennen moeten dezelfde polarisatierichtingen aanhouden.
385000	389600	De moderne DAP-plus-uitzendingen zijn ook bijvoorbeeld verticaal gepolariseerd,
389760	396020	met als achterliggende gedachte dat de gemiddelde DAP-plus-ontvanger in een auto een verticale antenne zal hebben.
396020	398600	U hoort ons allemaal op DAP-plus.
399000	400520	En nieuwe geluid van radio.
401560	405440	Om het nieuws dat in deze aflevering centraal staat goed te begrijpen,
405620	408680	moeten we teruggaan naar het magistrale jaar 1978.
410240	416020	In november van dat jaar werd de Einstein-satelliet gelanceerd, de eerste röntgentelescoop.
416020	423380	Deze satelliet draaide vier jaar lang op een hoogte van zo'n 470 kilometer rondjes om de aarde,
423540	426360	om de röntgenhemel nauwgezet in kaart te brengen.
427060	430420	Dat lukt beter in een baan rond de aarde dan op het aardoppervlak,
430560	435220	omdat röntgenstraling uit de ruimte door onze atmosfeer gelukkig wordt tegengehouden.
436180	441620	De Einstein-ruimtetelescoop was een succesvol apparaat waar we veel ontdekkingen aan te danken hebben.
441620	445460	Een van de opmerkelijke dingen die deze satelliet waarnam,
445680	449740	was de emissie van röntgenstraling uit het centrum van onze melkweg.
451400	453660	Dit was zo rond het jaar 1981.
454600	460840	Een interessant fenomeen, maar nu waren astronomen benieuwd wat de bron van deze röntgenstraling kon zijn.
461540	466360	Het is aardig om deze wetenschappelijke zoektocht door de tijd te volgen.
467240	471400	Met zo'n beetje alle röntgendetectoren die na Einstein gelanceerd werden,
471620	474540	werd ook gekeken naar het centrum van onze melkweg.
475380	479580	In juli 1993 verscheen een artikel in Nature met de titel
479580	483460	T-Sources of Diffuse X-Ray Emission from the Galactic Center
483460	485620	van auteurs Markiewicz en collega's.
487100	491840	Hierin redeneren zij dat de waargenomen röntgenstraling in de moleculaire volken
491840	495620	in het centrum van onze melkweg waarschijnlijk incidentele röntgengebeurtenissen
495620	499620	in dichtere moleculaire volken als bron hebben.
499620	505320	En dat deze straling slechts deels wordt geabsorbeerd door de eile moleculaire volken.
505420	506500	Dat was een lange zin.
506720	510360	Wat we waarnemen zou dus gefilterde röntgenstraling kunnen zijn.
510880	516520	Ontstaan in de A-, B2- en C-moleculaire volken in het centrum van onze melkweg.
516520	523680	Maar in 1981 beschikten we nog niet over zulke exacte ruimtetelescopen als tegenwoordig.
524560	529540	De auteurs waren in 1993 ook uiterst voorzichtig met hun conclusies.
530280	533820	En eigenlijk worden we dan ook nog een beetje met een kluitje in het riet gestuurd
533820	537820	omdat nog steeds niet duidelijk was hoe deze röntgenstraling dan ontstaat.
539040	543560	En nu in juni 2023 lezen we eindelijk wat er aan de hand is.
543560	548120	In het begin noemden we de titel van het artikel al.
548380	553900	X-ray polarisation evidence for a 200 year old flare of Sagittarius A-star.
554240	558260	En met de lange introductie over echo's en deze titel in de hand,
558440	563600	gecombineerd met het feit dat ik waarschijnlijk de slechtste spannende verhalenverteller van het heelal ben,
563880	566380	weet u nu eigenlijk al wat er dus gaande is.
566500	567500	Ja, schiet nou maar op.
567500	573940	Zo'n 200 jaar geleden vrat het superzware zwarte gat in het centrum van onze melkweg iets op.
574600	581200	Een ster, een rotsblok, het ruimteschip van een vergevorderde civilisatie, wie zal het zeggen?
582040	587240	In ieder geval werd iets verwrongen door de intense zwaartekracht van het zwarte gat.
587240	593680	Bij dit proces kwam een heftige röntgenflits vrij.
595400	598180	Iets wat we wel vaker zien bij zwarte gaten.
598960	604300	We hebben het over materie die op behoorlijk onelegante wijze aan flarden wordt getrokken
604300	609740	en met relativistische snelheden richting de accretieschijf rond het zwarte gat getrokken wordt.
610940	616660	Dit is typisch een proces waarbij energie in de vorm van snelle röntgentrillingen vrijkomt.
617240	621740	Deze straling kan opgevangen worden door onze beste röntgen satellieten.
622280	627500	In dit geval hebben wij de ontdekking van vandaag te danken aan de IXPE-satelliet.
628460	632500	Deze röntgensatelliet werd pas in 2021 gelanceerd.
633180	637880	De belangrijkste röntgendetectoren van deze IXPE-satelliet werden ontwikkeld
637880	641400	door de Italiaanse ruimtevaartorganisatie ASI.
641400	650060	Ook de IXPE-satelliet draait in een relatief lage baan rond onze planeet op een hoogte van zo'n 540 kilometer.
651060	659800	Meer nog dan andere instrumenten is de IXPE-satelliet buitengewoon goed in staat de polarisatie van röntgenlicht te meten.
659800	666480	Deze polarisatie, de hoek die de röntgenstraling aanneemt ten opzichte van de richting van de straling,
666680	670720	kan ons weer veel vertellen over de weg die de fotonen hebben afgelegd.
671800	679200	Net als zonnestralen die ons verblinden door te reflecteren op de motorkap van de auto als wij geen Polaroidbril kunnen aanschaffen,
