start	end	text
440	3040	So, did you get any mail hands?
3560	7320	Een interessante vraag bereikte mijn mail-inbox.
7620	8140	Oké.
8200	12520	Hoe weet ik of iets een meteoriet is of gewoon een steentje van de aarde?
13560	18260	In combinatie met een recent nieuwsitem over een meteoriet...
18260	21540	zie ik wel mogelijkheden daar een kwartier over te praten.
21780	26480	En als je zo sloom praat, wordt het gemakkelijk een half uur.
26480	32800	Om ons verhaal te beginnen reizen we in gedachten af naar Somalië, Afrika.
34140	40240	We reizen uiteraard per elektrisch vliegtuig naar Aden-Ada Airport in Mogadishu.
40240	43920	Welkom bij Aden-Ada Airport in Mogadishu.
44440	46560	Ik hoop dat je ervan leuk vliegde met Somalië.
47560	50480	Zijn erin vooraf, totdat de kabinlijst verhaal is.
51360	53820	Dat betekent u, meneer Zimmerman.
54900	62000	En dan met een gezellige, stoffige toerbus rijden we naar het El Ali Natuurreservaat.
62000	77000	Dat was onze vriendelijke Indische tourguide.
77000	84200	In de verzengende hitte aanschouwen we een enorm rotsblok...
84200	87240	dat ogenschijnlijk gewoon een rotsblok is.
88400	90960	Maar het schijnt een meteoriet te zijn.
91740	95520	Om eerlijk te zijn, ziet hij er ook al een beetje raar uit.
96900	101260	Dit ding heet de El Ali meteoriet, genaamd naar de vindplaats.
101260	105260	De medereizigers zijn zichtbaar onder de indruk.
106640	110480	Maar wanneer is dit gevaarte ingeslagen op onze aarde?
111280	115880	Daarvoor gaan we een onduidelijke hoeveelheid decennia terug in het verleden.
118300	121320	Onduidelijk omdat niemand precies weet hoe lang het geleden is.
122040	125860	Ik was in ieder geval nog niet geboren en mijn ouders en grootouders ook niet.
127100	129540	Het is nacht hier in El Ali.
129540	132780	In de verte is een feest gaande.
133860	134460	Gezellig.
135520	139740	Misschien gaan we zo ook nog even buurten daar bij de Dirisame-stam...
139740	145440	voor een wilde dans, dat rauw antilopenmergvlees en pomberijstbier.
147180	149920	Maar hé, wat is dat voor licht aan de hemel?
151260	154020	De feeststemming is omgeslagen.
154020	159420	Want hier, 15 kilometer ten noorden van het dorpje El Ali...
159420	164880	is zojuist een steen van 16.800 kilogram ingeslagen.
165360	168220	Van de bekende meteorieten die op aarde zijn aangetroffen...
169260	171160	is dit de negende zwaarste.
171960	174000	Dat moet u niet op uw dak krijgen...
174000	180280	want het is vergelijkbaar met een Toyota Land Cruiser 90 Prado 2.716V...
180280	181760	die naar beneden komt lazeren.
185200	190320	In de folklore kreeg deze steen de veel poëtischere naam Nightfall.
190320	193520	Al denk ik dat ze in Somalië iets van...
193520	194060	Hebben jullie wat?
194100	194740	...zullen zeggen.
195780	197340	De steen bleef liggen.
198300	199400	Decennia lang.
200480	203600	Kamelen herders van de Dirisamo-stam...
203600	208000	slepen hun messen aan de steen als een soort aanbeeld of slijpsteen.
208540	213140	De steen zag er zoals gezegd een beetje anders uit dan andere stenen.
213840	215520	Beetje metaalachtig.
215520	219380	Door zo lang in de kalksteenvallei te blijven liggen...
219380	222540	werd de El Ali of Nightfall meteoriet...
222540	225040	langzaam maar zeker één met de omgeving.
225880	228680	De schaarse begroeiing ter plekke...
228680	231560	klom geduldig langs de hardmetalen steen.
232500	236600	Pas in 2019, tijdens een zoektocht naar Alpaal...
236600	240620	merkte arbeiders van de Curim Mining & Rocks Company...
240620	244100	de steen op en stuurde een monster naar de autoriteiten.
244100	246400	Nee, niet zo'n monster.
246920	249600	Een sample, een bemonstering van de steen.
250960	254500	Door middel van röntgenfluorescentiespectrometrie...
254500	257760	werd vastgesteld dat het hier daadwerkelijk om een meteoriet ging.
258300	260840	Een IAB-meteoriet wel te verstaan.
260920	262420	Mag het in het Nederlands?
262540	266080	Dat zijn ijzermeteorieten die ook veel silikaten bevatten.
266900	271100	De El Ali-meteoriet bevatte behalve ijzer duidelijk ook andere metalen...
271100	275260	zoals nikkel, magnesium, kobalt en aluminium.
275760	278280	Interessant, maar wel een beetje nerderig.
278380	281760	Zouden we nu kunnen denken, maar het verhaal kreeg nog een staartje.
282300	285100	Een monster van 70 gram van de El Ali-meteoriet...
286040	288820	arriveerde ook bij professor Chris Hurd...
288820	291240	van de Universiteit van Alberta in Canada.
292100	294100	Hurd is conservator van de meteorietencollectie...
294100	296600	die de universiteit rijk is.
297260	301280	Maar Hurd merkte dat hij niet alle aanwezige mineralen...
301280	303440	in de meteoriet kon identificeren...
303440	306380	en riep de hulp in van collega Andrew Lowcock...
306380	308600	van het Electron Microprobe Laboratory.
309560	313540	Andrew had al meer ervaring met het identificeren van stoffen...
313540	316540	en merkte prompt op dat de meteoriet op zijn minst...
316540	318040	twee verbindingen bevatte...
318040	320860	die nog nooit eerder in de natuur waren aangetroffen.
320860	324760	Vergelijkbare moleculen waren al wel synthetisch...
324760	327140	in elkaar geknutseld in laboratoria...
327140	329240	maar nog nooit in het wild aangetroffen.
330160	332860	De eerste nieuwe verbinding die Lowcock en Hurd aantroffen...
333500	334860	is Fe9PO12.
336340	338860	Dit mineraal kreeg de naam El Ali-iit...
339400	339860	naar de vindplaats.
340620	342880	No shit, it's Sherlock Holmes Zimmerman.
343080	345860	Het tweede vreemde mineraal dat werd gevonden...
345860	348260	onder de elektronenmicroscoop van Lowcock...
348260	350940	is Fe4PO4-2O.
351640	354660	Dit mineraal kreeg de naam Elkinstantoniet.
355340	357480	Deze mineralennaam is een eerbetoon...
357480	360040	aan professor Lindy Elkinstanton.
360840	362540	Zij is planeetwetenschapper...
362540	364000	en hoofdonderzoeker...
364000	367160	van de nog te lanceren Psyche Ruimtevert Missie...
367160	369520	waar we het in het verleden al wel eens over hebben gehad.
370200	371580	De naam is heel relevant...
371580	374260	want de Psyche Missie gaat 16 psychree onderzoeken...
374260	377440	wat ook een metaalhoudend hemellichaam is.
378140	380380	En Lindy Elkinstanton...
380380	382320	is behalve ruimteverwetenschapper...
382320	383780	ook geowetenschapper.
384400	387260	Het is natuurlijk nog niet met 100% zekerheid...
387260	388940	te zeggen of de fosfor-ijzer-zuurstof...
388940	391740	verbindingen ontstonden in de ruimte...
391740	392940	tijdens de valderde atmosfeer...
392940	395440	of pas op aarde na inslag.
396100	397860	Maar astronomen gaan ervan uit...
397860	398940	dat de verbindingen waarschijnlijk...
398940	400840	in de ruimte zijn ontstaan.
400840	404340	Een hypothese is dat de steen onderdeel was...
404340	408020	van een metalen oppervlakte stolsel op een asteroide...
408020	409680	ergens in ons zonnestelsel.
410280	412680	In dat geval komt de El Ali-meteorie...
412680	415500	dus niet uit de metalen kern van zo'n asteroide.
416180	418440	Maar zo'n hypothese wint pas aan kracht...
418440	421560	als er iets vergelijkbaars ook daadwerkelijk wordt waargenomen.
422300	424180	Dat zou bijvoorbeeld kunnen gebeuren...
424180	426860	als het Saiki-ruimtevaartuig onderzoek gaat doen...
426860	428700	bij de asteroide 16 psychree.
428700	431200	NASA hoopt het Saiki-ruimtevaartuig...
431200	433200	in oktober van dit jaar te lanceren...
434120	436940	met behulp van een SpaceX-Volken Heavy-raket.
437680	440420	Als de El Ali-meteorie daadwerkelijk...
440420	443140	van het oppervlak van een asteroide afkomstig is...
443140	444640	is dat redelijk zeldzaam.
445340	448200	Volgens Chris Hurd zijn de meeste ijzer-nikkel-meteorieten...
448200	449880	die we op aarde vinden...
449880	452600	afkomstig van de ijzeren kern van asteroide.
453580	455420	Een beetje vergelijkbaar met onze aarde...
455420	457820	bestaan er asteroiden met een vloeibare...
457820	460760	of deels vloeibare ijzer-nikkelkern...
460760	463420	waaromheen een mantel van silicate bestaat.
464420	467260	Lava borrelt af en toe omhoog naar het oppervlak.
468140	470920	En als zo'n asteroide getroffen wordt door iets anders...
470920	473920	dan kan zo'n geval in stukken uiteenbreken.
473920	477800	De kracht van de inslag...
477800	480920	en de wederzijdse zwaartekracht invloeden in ons zonnestelsel...
481520	482720	kunnen er dan voor zorgen...
482720	486900	dat een deel van zo'n beschadigde asteroide ingevangen wordt door onze aarde.
487540	489920	En, in het geval van de El Ali-meteoriet...
490920	494820	de reis door de dampkring overleeft en als meteoriet inslaat.
496280	499400	En dan zijn we nu eindelijk aangekomen bij de vraag uit het begin.
499400	503500	Hoe kunnen we in vredesnaam weten...
503500	506380	of een opgeraapt steentje een meteoriet is of niet?
507100	509840	Met andere woorden, is het op aarde ontstaan...
509840	513200	of komt het van een asteroide of de maan of Mars of zo?
513340	514280	De Mars incident?
514660	517660	Aangezien er dag en nacht stenen naar de aarde komen...
517660	521320	en ook voor een deel inslaan op het oppervlak van onze planeet...
521320	525560	bestaat de kans dat er een meteoriet in uw voor- of achtertuin ligt.
526320	528380	De kans is niet zo heel groot...
528380	529480	maar zeker niet nul.
530420	533380	De Universiteit van Nieuw-Mexico heeft een aardige pagina...
534100	536440	over het identificeren van meteorieten...
536440	538040	dus daar put ik nu uit.
538760	541740	Een link naar de originele Engelstalige pagina...
541740	544720	vindt u in de show notes van deze podcastaflevering.
544840	545400	Dat is goed.
546160	549300	Grofweg kunnen we twee typen eigenschappen onderscheiden.
549480	549820	Eén.
550280	553220	Eigenschappen die maken dat iets waarschijnlijk een meteoriet is.
553480	553840	Twee.
553840	557520	En eigenschappen die zeggen dat het juist geen meteoriet betreft.
557520	559760	Laten we met die eerste beginnen.
559940	562540	Schrijft u ze maar in volgorde op.
562680	565820	De korst van een vers gevallen meteoriet is vaak zwart.
566520	569640	Deze korst is ontstaan tijdens de val door de atmosfeer.
570520	573520	Met de jaren op aarde kan deze korst weer wegslijten...
573520	575800	dus dit zegt nog niet alles.
576800	580760	De vorm van een meteoriet is vaak glad met deuken erin...
580760	582580	die we rechmaglipten noemen.
583380	586520	Deze rechmaglipten zijn herkenbaar als een soort deuken in klei...
587240	589760	alsof we er met onze vingers aan hebben gezeten.
590900	594240	Verreweg de meeste meteorieten bevatten ijzer en nikkel.
594920	598820	Meteorieten waar deze elementen ontbreken zijn extreem zeldzaam.
598820	603620	Met een beetje goede wil is het wel te zien of een meteoriet metaal bevat.
604360	608580	Het glinstert op breukvlakken of doet sowieso erg metaalachtig aan.
610020	613860	Meteorieten hebben doorgaans een hogere dichtheid dan aardse stenen.
614880	617820	Nemen we bijvoorbeeld graniet, toch ook geen kinderachtig steentje...
618580	622740	dan zien we dat dit een dichtheid van 2,8 gram per milliliter heeft.
623740	628220	Een ijzermeteorietje heeft al snel een dichtheid van 8 gram per milliliter.
628820	633960	De meeste meteorieten bevatten dusdanig veel ijzer dat ze eenvoudig aan een magneet kleven.
634620	638040	En tot slot bevatten de meeste meteorieten gondrules.
638500	643280	Dat zijn kleine balletjes die pas zichtbaar worden als we de meteoriet openbreken.
645980	650460	Dan zijn er nog eigenschappen die zeggen dat iets waarschijnlijk geen meteoriet is.
651120	654000	Ronde steentjes zijn doorgaans geen meteorieten.
654000	660020	Het kan nog steeds een heel mooi rond steentje zijn, maar het is waarschijnlijk gewoon een kiezelsteentje van de aarde.
662020	664100	Meteorieten zijn bijna nooit poreus.
664340	668660	Dus als u bubbels of holtes in een steentje aantreft, is het geen meteoriet.
669600	672440	We kennen geen meteorieten waar quartz in voorkomt.
672860	677000	Quartz is siliciumdioxide en komt veel voor op aarde als stollingsgesteente.
677000	682320	Sterker nog, meer dan 12% van onze aardbodem bestaat uit quartz.
683020	687860	Nou is er wel een beetje quartz op de maan gevonden door de astronauten van Apollo 14,
688160	691940	maar we gaan ervan uit dat ook op de maan quartz een zeldzaamheid is.
692760	697020	Nu weten we natuurlijk niet van elke meteoriet waar deze oorspronkelijk vandaan komt,
697280	701940	en wellicht is er nog een plaats in dit heelal waar quartz meer regel dan uitzondering is,
702180	705840	maar doorgaans zult u geen quartz aantreffen in uw meteoriet.
705840	712200	Kristalachtige structuren in een meteoriet zijn zeldzaam en worden pas onder een microscoop zichtbaar.
713320	716240	Meteorieten zijn hoogstwaarschijnlijk niet radioactief.
716840	719780	Een Geiger teller is gauw gekocht bij AliExpress,
719920	723020	en als uw meteoriet in spe duidelijk radioactief is,
723500	726340	zou ik dat ding gauw overbrengen naar de autoriteiten,
726560	731220	het niet op uw lichaam dragen en uzelf controleren op symptomen van stralingsziekte.
731220	738580	En de laatste test of iets geen meteoriet is, is te kijken of u ermee kunt tekenen.
739840	744580	Een goede manier om dit te testen is op de doffe zijde van een badkamertegeltje,
744660	746380	als u nog zoiets heeft rond te slingeren.
748020	750400	Een meteoriet laat geen spoor achter.
750400	756560	Een zwart-grijs spoor daarentegen zegt ons dat u een aardse magnetietsteen in handen heeft
756560	761240	en een rood-bruine streep is meestal het gevolg van een aardse hematietsteen.
762060	764320	Nu heb ik hier toevallig een meteorietje,
764740	768220	want mijn dochter verzamelt bijzondere stenen.
768680	773480	U kunt meteorieten kopen in musea, op stenenbeurzen en zelfs op internet.
773480	776440	Bij deze meteoriet zit een bijzlaat.
776860	777820	Daar leesen we.
777820	780740	Echter Meteorit uit de tiefe des Al's.
781240	784660	Herzlichen Glückwunsch zum Erwerb eines echten Meteoriten.
785380	790100	Ursprung, Sonnensystem, Asteroidengurtel zwischen Mars und Jupiter.
791100	794000	Alter, 4,5 Milliarden Jahre.
794000	814420	Chemische zusammensetzung, 92,6% Eisen, 6,68% Nickel, 0,43% Kobalt, 0,25% Phosphor, 87 ppm Gallium, 407 ppm Germanium en 3,6 ppm Iridium.
814420	817280	Voor wie geen Duits kan of voor wie het te snel ging,
817900	822780	het is leuk om te horen dat deze meteoriet uit de planetoïdengordel afkomstig is.
822780	828040	Ook horen we dat het een ijzer-nikkel-meteoriet is die ook weer fosfor bevat.
828680	834540	De kleine hoeveelheden Gallium, Germanium en Iridium in deze meteoriet zijn ook interessant.
835260	840580	Precies die elementen worden vaak gebruikt in halfgeleiders zoals diodes en transistoren
840580	844600	om ze efficiënter te maken of bepaalde eigenschappen af te dwingen.
845100	848880	Ik zal de meteoriet van mijn dochter even langslopen qua eigenschappen.
848880	854520	Het oppervlak is beslist niet rond en bevat inderdaad allerlei rechmaglypten.
855120	859700	Het is duidelijk een metalen meteoriet en bevat geen kleine holtes of bubbels.
860300	862140	Hij is relatief zwaar.
862860	864480	En ik zie ook zeker geen kwarts.
864980	867240	Het oppervlak is donker en glimmend.
867960	870180	Houden we even de Geiger-teller erbij.
871100	872520	Nou ja, die doet dus helemaal niks.
873160	874380	Even bij een magneet.
874380	876240	Huppakee, ja natuurlijk.
877140	879320	En tot slot de streeptest.
879440	884360	We hadden zowaar nog de wereld aan reservetegeltjes in de schuur staan van de verbouwing.
884520	886820	Dit is een Sphinx-tegel.
887260	887520	Wit.
888700	893400	Volgens mij hebben wij die niet in de padkamer, maar in een wc.
893620	894860	Maar dat is ook niet zo belangrijk.
895580	896400	Even kijken.
897240	900420	Halen we de Sphinx-tegel en de meteoriet.
900660	901980	En dan even krassen.
901980	906520	Nee, dat streept totaal niet.
906700	907900	Nee, geen strepen.
908500	914080	Ik zie wel dat ik kras, maar geen grijs of rood spoor.
914580	916800	Dit is hoogstwaarschijnlijk een meteoriet.
917280	921860	Ik ga maar weer gauw terugleggen in het museum van mijn dochter, anders zwaait er nog wat.
923020	925840	Nog heel even terug naar onze El Ali-meteoriet.
925840	934120	Mogelijk bevat het monster van de El Ali-meteoriet nog een derde nieuw mineraal, maar daar is op dit moment nog geen uitsluissel over.
934800	941660	Triest detail is dat de El Ali-meteoriet van zijn vindplaats werd gesleept en naar Mogadishu is overgebracht.
